# iterations	 errorinentropy	 maxerror
7.217e+08	0.1509	4.933
7.28e+08	0.1467	4.933
7.346e+08	0.1471	4.933
7.41e+08	0.1478	4.933
7.477e+08	0.143	4.933
7.545e+08	0.1445	4.933
7.614e+08	0.1484	4.933
7.682e+08	0.145	4.933
7.752e+08	0.1518	4.933
7.823e+08	0.1475	4.933
7.894e+08	0.1746	4.933
7.958e+08	0.1696	4.933
8.025e+08	0.1648	4.933
8.092e+08	0.1519	4.933
8.16e+08	0.1474	4.933
8.231e+08	0.1447	4.933
8.304e+08	0.1389	4.933
8.378e+08	0.13	4.933
8.452e+08	0.1249	4.933
8.519e+08	0.1214	4.933
8.587e+08	0.1182	4.933
8.656e+08	0.1201	4.933
8.73e+08	0.1151	4.933
8.806e+08	0.1239	4.933
8.883e+08	0.1197	4.933
8.957e+08	0.1165	4.933
9.024e+08	0.1163	4.933
9.096e+08	0.1148	4.933
9.173e+08	0.1143	4.933
9.251e+08	0.1108	4.933
9.33e+08	0.08096	3.016
9.396e+08	0.07932	3.042
9.47e+08	0.0786	3.069
9.55e+08	0.0768	3.097
9.631e+08	0.07757	3.162
9.705e+08	0.08588	3.221
9.797e+08	0.09114	3.344
9.887e+08	0.05909	0.644
1.002e+09	0.06	0.651
1.017e+09	0.05796	0.735
1.028e+09	0.05521	0.714
1.04e+09	0.05431	0.366
1.054e+09	0.05612	0.442
1.068e+09	0.05831	0.472
1.08e+09	0.05362	0.347
1.09e+09	0.05336	0.354
1.105e+09	0.05434	0.317
1.117e+09	0.05444	0.339
1.13e+09	0.05025	0.314
1.143e+09	0.05363	0.2275
1.155e+09	0.05482	0.2305
1.167e+09	0.05919	0.405
1.179e+09	0.05576	0.443
1.191e+09	0.0591	0.412
1.206e+09	0.05173	0.354
1.219e+09	0.05168	0.282
1.229e+09	0.04895	0.28
1.24e+09	0.04978	0.339
1.252e+09	0.0483	0.365
1.265e+09	0.0472	0.387
1.278e+09	0.04455	0.416
1.293e+09	0.04748	0.42
1.306e+09	0.04765	0.453
1.317e+09	0.04519	0.385
1.333e+09	0.04363	0.366
1.349e+09	0.04367	0.381
1.364e+09	0.04282	0.408
1.378e+09	0.04201	0.374
1.391e+09	0.04098	0.339
1.406e+09	0.0439	0.366
1.42e+09	0.04377	0.414
1.436e+09	0.0444	0.385
1.447e+09	0.04448	0.359
1.458e+09	0.04513	0.366
1.473e+09	0.04611	0.38
1.489e+09	0.04839	0.41
1.505e+09	0.04672	0.434
1.519e+09	0.04788	0.424
1.536e+09	0.04869	0.45
1.548e+09	0.0492	0.466
1.564e+09	0.05065	0.481
1.578e+09	0.051	0.47
