# version: 0.0.0-138-g2c17df3-dirty
# well_width: 1.3
# ff: 0.3
# N: 18
# walls: 0
# cell dimensions: (6.31074, 6.31074, 6.31074)
# seed: 3
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 0.377552
# min_important_energy after initialization: 90

# histogram method: simple flat
# init_iter_limit: 32400000
# iterations: 32400000
# working moves: 295919479
# total moves: 583200000
# acceptance rate: 0.507407

# energy	samples
43  0
44  2158877
45  1168750
46  757677
47  523317
48  374335
49  276496
50  208304
51  159813
52  124757
53  99123
54  79611
55  64435
56  52841
57  43769
58  36422
59  30462
60  25589
61  21616
62  18322
63  15710
64  13471
65  11615
66  10007
67  8712
68  7582
69  6618
70  5778
71  5038
72  4406
73  3836
74  3288
75  2830
76  2437
77  2001
78  1634
79  1260
80  899
81  351
82  70
83  18
84  4
