# version: 0.0.0-205-g2032787-dirty
# well_width: 1.3
# ff: 0.3
# N: 18
# walls: 0
# cell dimensions: (6.31074, 6.31074, 6.31074)
# seed: 3
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 90

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N18-tmmc-golden-transitions.dat
# iterations: 0
# working moves: 0
# total moves: 0
# acceptance rate: -nan

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0.0279367
45  0.16641
46  0.412281
47  0.762343
48  1.21376
49  1.76335
50  2.40832
51  3.14581
52  3.97286
53  4.88719
54  5.88588
55  6.96654
56  8.12671
57  9.36429
58  10.677
59  12.0634
60  13.5216
61  15.0512
62  16.651
63  18.3216
64  20.0638
65  21.8794
66  23.7702
67  25.7394
68  27.7907
69  29.9284
70  32.1574
71  34.482
72  36.908
73  39.4376
74  42.0762
75  44.8243
76  47.6831
77  50.6473
78  53.7139
79  56.8808
80  60.1668
81  63.6219
82  67.2865
83  71.1424
84  75.1749
85  79.357
86  83.5043
87  86.9847
88  90.4667
89  94.2719
90  98.7383
91  103.738
92  108.738
93  113.738
94  118.738
95  123.738
96  128.738
97  133.738
98  138.738
99  143.738
100  148.738
101  153.738
102  158.738
103  163.738
104  168.738
105  173.738
106  178.738
107  183.738
