# version: 0.0.0-138-g2c17df3-dirty
# well_width: 1.3
# ff: 0.3
# N: 17
# walls: 0
# cell dimensions: (6.19164, 6.19164, 6.19164)
# seed: 3
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 0.007553
# min_important_energy after initialization: 80

# histogram method: simple flat
# init_iter_limit: 28900000
# iterations: 28900000
# working moves: 233132654
# total moves: 491300000
# acceptance rate: 0.474522

# energy	samples
41  0
42  1685536
43  906780
44  581716
45  397711
46  282567
47  206013
48  154011
49  117278
50  90909
51  71549
52  57051
53  45770
54  37292
55  30706
56  25428
57  21088
58  17688
59  14880
60  12552
61  10678
62  9191
63  7870
64  6795
65  5911
66  5119
67  4438
68  3807
69  3257
70  2783
71  2341
72  1924
73  1612
74  1264
75  989
76  687
77  435
78  246
79  117
80  69
81  39
82  10
83  1
