0.01 -36.8454 -25.4223
0.03 -34.6885 -25.4227
0.05 -33.6464 -25.4231
0.07 -32.9336 -25.4229
0.09 -32.3803 -25.424
0.11 -31.921 -25.4246
0.13 -31.5233 -25.4231
0.15 -31.1686 -25.423
0.17 -30.8454 -25.4218
0.19 -30.546 -25.4203
0.21 -30.265 -25.4172
0.23 -29.9984 -25.4124
0.25 -29.7432 -25.4036
0.27 -29.4969 -25.3925
0.29 -29.2577 -25.373
0.31 -29.0241 -25.3501
0.33 -28.7947 -25.3224
0.35 -28.5685 -25.2849
0.37 -28.3444 -25.2374
0.39 -28.1216 -25.1846
0.41 -27.8993 -25.1201
0.43 -27.6768 -25.0453
0.45 -27.4535 -24.9634
0.47 -27.2287 -24.8733
0.49 -27.0018 -24.7694
0.51 -26.7722 -24.6586
0.53 -26.5395 -24.5306
0.55 -26.303 -24.3978
0.57 -26.0621 -24.2472
0.59 -25.8163 -24.0872
0.61 -25.565 -23.9166
0.63 -25.3075 -23.7336
0.65 -25.0434 -23.5323
0.67 -24.7718 -23.3284
0.69 -24.4922 -23.1115
0.71 -24.2038 -22.8763
0.73 -23.9058 -22.6217
0.75 -23.5974 -22.3531
0.77 -23.2778 -22.0781
0.79 -22.946 -21.7699
0.81 -22.601 -21.4554
0.83 -22.2417 -21.125
0.85 -21.867 -20.782
0.87 -21.4755 -20.3897
0.89 -21.0659 -19.9963
0.91 -20.6367 -19.5843
0.93 -20.1862 -19.1324
0.95 -19.7127 -18.7318
0.97 -19.214 -18.3334
0.99 -18.688 -17.9246
1.01 -18.1324 -17.5127
1.03 -17.5443 -17.0713
1.05 -16.9209 -16.6099
1.07 -16.2588 -16.1499
1.09 -15.5543 -15.6594
1.11 -14.8033 -15.1249
1.13 -14.0012 -14.5693
1.15 -13.1426 -13.9697
1.17 -12.2218 -13.3152
1.19 -11.232 -12.6239
1.21 -10.1658 -11.8496
1.23 -9.01438 -11.0295
1.25 -7.76797 -10.0729
1.27 -6.41521 -8.97953
1.29 -4.94305 -7.77606
1.31 -3.33636 -6.37982
1.33 -1.57755 -4.74221
1.35 0.353914 -2.75756
1.37 2.48217 -0.341205
1.39 4.83569 2.94174
1.41 7.44831 6.67218
1.43 10.3605 10.9404
1.45 13.6207 16.0318
1.47 17.288 21.7468
1.49 21.4342 26.862
1.51 26.1477 32.354
