# version: 0.0.0-1748-g84163b96-dirty
# seed: 0
# well_width: 1.3
# ff: 0.3
# N: 500
# walls: 0
# cell dimensions: (19.1123, 19.1123, 19.1123)
# translation_scale: 0.1
# energy_levels: 4501
# min_T: 0.5
# max_entropy_state: 1206
# min_important_energy: 2603

# WL Factor: 6.79101e-07
# iterations: 6231264000
# working moves: 1493109856633
# total moves: 3115632000000
# acceptance rate: 0.479232

# converged state: 2660
# converged temperature: 0.464945

# energy	lndos	ps	lndos_tm
0	-2486.32	0	-29.7093
1	-2486.32	0	-29.7093
2	-2486.32	0	-29.7093
3	-2486.32	0	-29.7093
4	-2486.32	0	-29.7093
5	-2486.32	0	-29.7093
6	-2486.32	0	-29.7093
7	-2486.32	0	-29.7093
8	-2486.32	0	-29.7093
9	-2486.32	0	-29.7093
10	-2486.32	0	-29.7093
11	-2486.32	0	-29.7093
12	-2486.32	0	-29.7093
13	-2486.32	0	-29.7093
14	-2486.32	0	-29.7093
15	-2486.32	0	-29.7093
16	-2486.32	0	-29.7093
17	-2486.32	0	-29.7093
18	-2486.32	0	-29.7093
19	-2486.32	0	-29.7093
20	-2486.32	0	-29.7093
21	-2486.32	0	-29.7093
22	-2486.32	0	-29.7093
23	-2486.32	0	-29.7093
24	-2486.32	0	-29.7093
25	-2486.32	0	-29.7093
26	-2486.32	0	-29.7093
27	-2486.32	0	-29.7093
28	-2486.32	0	-29.7093
29	-2486.32	0	-29.7093
30	-2486.32	0	-29.7093
31	-2486.32	0	-29.7093
32	-2486.32	0	-29.7093
33	-2486.32	0	-29.7093
34	-2486.32	0	-29.7093
35	-2486.32	0	-29.7093
36	-2486.32	0	-29.7093
37	-2486.32	0	-29.7093
38	-2486.32	0	-29.7093
39	-2486.32	0	-29.7093
40	-2486.32	0	-29.7093
41	-2486.32	0	-29.7093
42	-2486.32	0	-29.7093
43	-2486.32	0	-29.7093
44	-2486.32	0	-29.7093
45	-2486.32	0	-29.7093
46	-2486.32	0	-29.7093
47	-2486.32	0	-29.7093
48	-2486.32	0	-29.7093
49	-2486.32	0	-29.7093
50	-2486.32	0	-29.7093
51	-2486.32	0	-29.7093
52	-2486.32	0	-29.7093
53	-2486.32	0	-29.7093
54	-2486.32	0	-29.7093
55	-2486.32	0	-29.7093
56	-2486.32	0	-29.7093
57	-2486.32	0	-29.7093
58	-2486.32	0	-29.7093
59	-2486.32	0	-29.7093
60	-2486.32	0	-29.7093
61	-2486.32	0	-29.7093
62	-2486.32	0	-29.7093
63	-2486.32	0	-29.7093
64	-2486.32	0	-29.7093
65	-2486.32	0	-29.7093
66	-2486.32	0	-29.7093
67	-2486.32	0	-29.7093
68	-2486.32	0	-29.7093
69	-2486.32	0	-29.7093
70	-2486.32	0	-29.7093
71	-2486.32	0	-29.7093
72	-2486.32	0	-29.7093
73	-2486.32	0	-29.7093
74	-2486.32	0	-29.7093
75	-2486.32	0	-29.7093
76	-2486.32	0	-29.7093
77	-2486.32	0	-29.7093
78	-2486.32	0	-29.7093
79	-2486.32	0	-29.7093
80	-2486.32	0	-29.7093
81	-2486.32	0	-29.7093
82	-2486.32	0	-29.7093
83	-2486.32	0	-29.7093
84	-2486.32	0	-29.7093
85	-2486.32	0	-29.7093
86	-2486.32	0	-29.7093
87	-2486.32	0	-29.7093
88	-2486.32	0	-29.7093
89	-2486.32	0	-29.7093
90	-2486.32	0	-29.7093
91	-2486.32	0	-29.7093
92	-2486.32	0	-29.7093
93	-2486.32	0	-29.7093
94	-2486.32	0	-29.7093
95	-2486.32	0	-29.7093
96	-2486.32	0	-29.7093
97	-2486.32	0	-29.7093
98	-2486.32	0	-29.7093
99	-2486.32	0	-29.7093
100	-2486.32	0	-29.7093
101	-2486.32	0	-29.7093
102	-2486.32	0	-29.7093
103	-2486.32	0	-29.7093
104	-2486.32	0	-29.7093
105	-2486.32	0	-29.7093
106	-2486.32	0	-29.7093
107	-2486.32	0	-29.7093
108	-2486.32	0	-29.7093
109	-2486.32	0	-29.7093
110	-2486.32	0	-29.7093
111	-2486.32	0	-29.7093
112	-2486.32	0	-29.7093
113	-2486.32	0	-29.7093
114	-2486.32	0	-29.7093
115	-2486.32	0	-29.7093
116	-2486.32	0	-29.7093
117	-2486.32	0	-29.7093
118	-2486.32	0	-29.7093
119	-2486.32	0	-29.7093
120	-2486.32	0	-29.7093
121	-2486.32	0	-29.7093
122	-2486.32	0	-29.7093
123	-2486.32	0	-29.7093
124	-2486.32	0	-29.7093
125	-2486.32	0	-29.7093
126	-2486.32	0	-29.7093
127	-2486.32	0	-29.7093
128	-2486.32	0	-29.7093
129	-2486.32	0	-29.7093
130	-2486.32	0	-29.7093
131	-2486.32	0	-29.7093
132	-2486.32	0	-29.7093
133	-2486.32	0	-29.7093
134	-2486.32	0	-29.7093
135	-2486.32	0	-29.7093
136	-2486.32	0	-29.7093
137	-2486.32	0	-29.7093
138	-2486.32	0	-29.7093
139	-2486.32	0	-29.7093
140	-2486.32	0	-29.7093
141	-2486.32	0	-29.7093
142	-2486.32	0	-29.7093
143	-2486.32	0	-29.7093
144	-2486.32	0	-29.7093
145	-2486.32	0	-29.7093
146	-2486.32	0	-29.7093
147	-2486.32	0	-29.7093
148	-2486.32	0	-29.7093
149	-2486.32	0	-29.7093
150	-2486.32	0	-29.7093
151	-2486.32	0	-29.7093
152	-2486.32	0	-29.7093
153	-2486.32	0	-29.7093
154	-2486.32	0	-29.7093
155	-2486.32	0	-29.7093
156	-2486.32	0	-29.7093
157	-2486.32	0	-29.7093
158	-2486.32	0	-29.7093
159	-2486.32	0	-29.7093
160	-2486.32	0	-29.7093
161	-2486.32	0	-29.7093
162	-2486.32	0	-29.7093
163	-2486.32	0	-29.7093
164	-2486.32	0	-29.7093
165	-2486.32	0	-29.7093
166	-2486.32	0	-29.7093
167	-2486.32	0	-29.7093
168	-2486.32	0	-29.7093
169	-2486.32	0	-29.7093
170	-2486.32	0	-29.7093
171	-2486.32	0	-29.7093
172	-2486.32	0	-29.7093
173	-2486.32	0	-29.7093
174	-2486.32	0	-29.7093
175	-2486.32	0	-29.7093
176	-2486.32	0	-29.7093
177	-2486.32	0	-29.7093
178	-2486.32	0	-29.7093
179	-2486.32	0	-29.7093
180	-2486.32	0	-29.7093
181	-2486.32	0	-29.7093
182	-2486.32	0	-29.7093
183	-2486.32	0	-29.7093
184	-2486.32	0	-29.7093
185	-2486.32	0	-29.7093
186	-2486.32	0	-29.7093
187	-2486.32	0	-29.7093
188	-2486.32	0	-29.7093
189	-2486.32	0	-29.7093
190	-2486.32	0	-29.7093
191	-2486.32	0	-29.7093
192	-2486.32	0	-29.7093
193	-2486.32	0	-29.7093
194	-2486.32	0	-29.7093
195	-2486.32	0	-29.7093
196	-2486.32	0	-29.7093
197	-2486.32	0	-29.7093
198	-2486.32	0	-29.7093
199	-2486.32	0	-29.7093
200	-2486.32	0	-29.7093
201	-2486.32	0	-29.7093
202	-2486.32	0	-29.7093
203	-2486.32	0	-29.7093
204	-2486.32	0	-29.7093
205	-2486.32	0	-29.7093
206	-2486.32	0	-29.7093
207	-2486.32	0	-29.7093
208	-2486.32	0	-29.7093
209	-2486.32	0	-29.7093
210	-2486.32	0	-29.7093
211	-2486.32	0	-29.7093
212	-2486.32	0	-29.7093
213	-2486.32	0	-29.7093
214	-2486.32	0	-29.7093
215	-2486.32	0	-29.7093
216	-2486.32	0	-29.7093
217	-2486.32	0	-29.7093
218	-2486.32	0	-29.7093
219	-2486.32	0	-29.7093
220	-2486.32	0	-29.7093
221	-2486.32	0	-29.7093
222	-2486.32	0	-29.7093
223	-2486.32	0	-29.7093
224	-2486.32	0	-29.7093
225	-2486.32	0	-29.7093
226	-2486.32	0	-29.7093
227	-2486.32	0	-29.7093
228	-2486.32	0	-29.7093
229	-2486.32	0	-29.7093
230	-2486.32	0	-29.7093
231	-2486.32	0	-29.7093
232	-2486.32	0	-29.7093
233	-2486.32	0	-29.7093
234	-2486.32	0	-29.7093
235	-2486.32	0	-29.7093
236	-2486.32	0	-29.7093
237	-2486.32	0	-29.7093
238	-2486.32	0	-29.7093
239	-2486.32	0	-29.7093
240	-2486.32	0	-29.7093
241	-2486.32	0	-29.7093
242	-2486.32	0	-29.7093
243	-2486.32	0	-29.7093
244	-2486.32	0	-29.7093
245	-2486.32	0	-29.7093
246	-2486.32	0	-29.7093
247	-2486.32	0	-29.7093
248	-2486.32	0	-29.7093
249	-2486.32	0	-29.7093
250	-2486.32	0	-29.7093
251	-2486.32	0	-29.7093
252	-2486.32	0	-29.7093
253	-2486.32	0	-29.7093
254	-2486.32	0	-29.7093
255	-2486.32	0	-29.7093
256	-2486.32	0	-29.7093
257	-2486.32	0	-29.7093
258	-2486.32	0	-29.7093
259	-2486.32	0	-29.7093
260	-2486.32	0	-29.7093
261	-2486.32	0	-29.7093
262	-2486.32	0	-29.7093
263	-2486.32	0	-29.7093
264	-2486.32	0	-29.7093
265	-2486.32	0	-29.7093
266	-2486.32	0	-29.7093
267	-2486.32	0	-29.7093
268	-2486.32	0	-29.7093
269	-2486.32	0	-29.7093
270	-2486.32	0	-29.7093
271	-2486.32	0	-29.7093
272	-2486.32	0	-29.7093
273	-2486.32	0	-29.7093
274	-2486.32	0	-29.7093
275	-2486.32	0	-29.7093
276	-2486.32	0	-29.7093
277	-2486.32	0	-29.7093
278	-2486.32	0	-29.7093
279	-2486.32	0	-29.7093
280	-2486.32	0	-29.7093
281	-2486.32	0	-29.7093
282	-2486.32	0	-29.7093
283	-2486.32	0	-29.7093
284	-2486.32	0	-29.7093
285	-2486.32	0	-29.7093
286	-2486.32	0	-29.7093
287	-2486.32	0	-29.7093
288	-2486.32	0	-29.7093
289	-2486.32	0	-29.7093
290	-2486.32	0	-29.7093
291	-2486.32	0	-29.7093
292	-2486.32	0	-29.7093
293	-2486.32	0	-29.7093
294	-2486.32	0	-29.7093
295	-2486.32	0	-29.7093
296	-2486.32	0	-29.7093
297	-2486.32	0	-29.7093
298	-2486.32	0	-29.7093
299	-2486.32	0	-29.7093
300	-2486.32	0	-29.7093
301	-2486.32	0	-29.7093
302	-2486.32	0	-29.7093
303	-2486.32	0	-29.7093
304	-2486.32	0	-29.7093
305	-2486.32	0	-29.7093
306	-2486.32	0	-29.7093
307	-2486.32	0	-29.7093
308	-2486.32	0	-29.7093
309	-2486.32	0	-29.7093
310	-2486.32	0	-29.7093
311	-2486.32	0	-29.7093
312	-2486.32	0	-29.7093
313	-2486.32	0	-29.7093
314	-2486.32	0	-29.7093
315	-2486.32	0	-29.7093
316	-2486.32	0	-29.7093
317	-2486.32	0	-29.7093
318	-2486.32	0	-29.7093
319	-2486.32	0	-29.7093
320	-2486.32	0	-29.7093
321	-2486.32	0	-29.7093
322	-2486.32	0	-29.7093
