0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0
7.75	0.0432306	0.0916838	0.079822	0.0918208	0.0830844	0.0904324	0.0831712	0.0878625	0.0818033	0.0468003	0.0492677
7.85	0.0441403	0.0887374	0.0820746	0.0887683	0.0806186	0.0897182	0.0805574	0.0893176	0.080208	0.0466235	0.0501251
7.95	0.0453319	0.088549	0.0856478	0.0904863	0.0852662	0.0904883	0.0843147	0.0908682	0.0806583	0.0465619	0.0509746
8.05	0.0467431	0.082812	0.0752127	0.0893397	0.0789467	0.0889428	0.0790167	0.0897043	0.0802858	0.0465909	0.050876
8.15	0.0478391	0.0922403	0.0809898	0.0895069	0.0824505	0.0890933	0.0811689	0.0873949	0.0815849	0.0466851	0.0499656
8.25	0.048734	0.0879114	0.0803892	0.0854743	0.0810361	0.0864236	0.0822683	0.0852996	0.0815428	0.046835	0.049227
8.35	0.0491593	0.0834525	0.0781568	0.0876295	0.0817567	0.0858937	0.0830173	0.0848422	0.0810931	0.0470259	0.0486391
8.45	0.0492894	0.0823421	0.0800782	0.0826765	0.0823995	0.0844753	0.0831245	0.0835569	0.0825489	0.0472374	0.0481754
8.55	0.0494217	0.0793795	0.082975	0.0840828	0.0821444	0.084282	0.0828137	0.0833613	0.0833291	0.0474537	0.0478219
8.65	0.0492309	0.0844691	0.0779107	0.0816113	0.0828187	0.0822313	0.0829205	0.083102	0.0836584	0.0476738	0.0475688
8.75	0.0490256	0.0822942	0.0915712	0.0817167	0.0865149	0.0825204	0.08516	0.0822002	0.0842107	0.047877	0.0473968
8.85	0.0488519	0.0845828	0.0878374	0.0835432	0.0840313	0.082347	0.0843008	0.08219	0.085117	0.0480473	0.0472903
8.95	0.0485898	0.0824153	0.0847383	0.0819961	0.0829745	0.081986	0.0850048	0.0825299	0.0855969	0.0481661	0.0472397
9.05	0.0484076	0.0814763	0.077979	0.081148	0.0838091	0.0822785	0.0857834	0.0825484	0.0854023	0.048224	0.0472335
9.15	0.048143	0.0869338	0.0908791	0.0857055	0.0883855	0.0842797	0.086637	0.0828159	0.0859463	0.0482272	0.0472628
9.25	0.0479244	0.0868092	0.0857109	0.082302	0.0855016	0.0834737	0.0838555	0.0827689	0.0855967	0.04819	0.0473228
9.35	0.0477952	0.0865958	0.0934258	0.0824022	0.0856715	0.0830083	0.085743	0.0829487	0.084911	0.0481309	0.0474054
9.45	0.0475599	0.0850151	0.084515	0.0828221	0.0835706	0.0834988	0.084362	0.0836437	0.0840065	0.0480605	0.0475024
9.55	0.047574	0.0813131	0.0834984	0.0826318	0.0843993	0.083058	0.0850025	0.0835321	0.0847329	0.0479877	0.0476053
9.65	0.0476067	0.0826009	0.0872095	0.0832799	0.0853152	0.0823232	0.0864106	0.083608	0.0844466	0.0479241	0.0477073
9.75	0.0475844	0.0819838	0.0925307	0.0827818	0.085702	0.0834047	0.0858771	0.0838403	0.0840888	0.0478709	0.0478022
9.85	0.0475966	0.0905326	0.0827813	0.0860693	0.0825926	0.0854243	0.0829335	0.0839658	0.0839691	0.0478217	0.0478823
9.95	0.0474784	0.0819683	0.0836739	0.0852104	0.0830684	0.0852158	0.0823345	0.0839617	0.083682	0.0477814	0.0479393
10.05	0.0475722	0.084725	0.0789556	0.0822821	0.0844974	0.0830008	0.0847542	0.0832961	0.0837678	0.0477482	0.0479699
10.15	0.0475262	0.0832671	0.0864347	0.0835777	0.0860577	0.0843491	0.0851713	0.0840084	0.0833605	0.0477267	0.0479758
10.25	0.0477116	0.083853	0.0857964	0.0850551	0.0835431	0.0853782	0.0836752	0.0839609	0.0835756	0.0477153	0.0479619
10.35	0.0477665	0.0857905	0.0839766	0.0845282	0.0830136	0.0844272	0.0824606	0.0838232	0.083491	0.0477116	0.0479347
10.45	0.0477463	0.0845958	0.086986	0.0840026	0.0844586	0.0839059	0.0830208	0.0835725	0.0830911	0.0477167	0.0479035
10.55	0.047872	0.0860839	0.0852111	0.0840125	0.0832075	0.0840523	0.0828774	0.0836203	0.0837205	0.0477281	0.0478704
10.65	0.0479558	0.0865669	0.0886625	0.083857	0.0844844	0.0835499	0.0849251	0.0833617	0.0837915	0.0477346	0.0478371
10.75	0.0478863	0.0831849	0.0860271	0.0844175	0.0831045	0.0842912	0.0838527	0.0834389	0.0835001	0.0477413	0.0478098
10.85	0.0478173	0.0852228	0.0841163	0.0832286	0.0839543	0.0829094	0.0843774	0.0832858	0.0836212	0.0477477	0.0477872
10.95	0.0478197	0.0864492	0.0877764	0.0861944	0.0851579	0.0840209	0.0847165	0.0833115	0.0835131	0.047754	0.047769
11.05	0.0477467	0.0834738	0.0802498	0.0839509	0.0859711	0.0843136	0.0851604	0.0836817	0.0840668	0.0477618	0.047754
11.15	0.0477602	0.0848474	0.0849321	0.0831021	0.0815468	0.0828125	0.0833985	0.0833359	0.0835507	0.0477695	0.0477438
11.25	0.0477825	0.0822624	0.0831221	0.0828907	0.0839143	0.0837934	0.0833157	0.0834816	0.0839808	0.0477743	0.0477376
11.35	0.0477692	0.0848496	0.0807861	0.0836333	0.0837729	0.0835574	0.0841412	0.0833812	0.0837391	0.0477732	0.0477345
11.45	0.0477794	0.0819397	0.088312	0.0810333	0.0845421	0.081487	0.084567	0.0829845	0.0831479	0.0477739	0.0477349
11.55	0.0477616	0.0832477	0.0809854	0.0836014	0.084963	0.0843496	0.084581	0.0830369	0.083754	0.0477734	0.0477386
11.65	0.0477506	0.084048	0.084533	0.083569	0.0849073	0.0843456	0.0853562	0.0835242	0.0842625	0.047765	0.0477406
11.75	0.0477195	0.0855991	0.0849808	0.0854645	0.083962	0.084822	0.0841615	0.0835923	0.0837806	0.0477591	0.0477412
11.85	0.0477368	0.0837486	0.0805488	0.0849979	0.0846052	0.0843211	0.0838997	0.0834941	0.0835464	0.0477585	0.047744
11.95	0.0476663	0.0848387	0.0869678	0.0832456	0.0846406	0.0839059	0.0850125	0.0837573	0.0839741	0.0477587	0.0477487
12.05	0.0477346	0.0803229	0.0835349	0.0829497	0.083224	0.0843412	0.0835767	0.0834947	0.0837943	0.0477589	0.047753
12.15	0.0477233	0.0865388	0.0834465	0.0845069	0.0836264	0.0844199	0.0843902	0.0837161	0.0835932	0.0477582	0.0477576
12.25	0.0477286	0.0816367	0.0796167	0.0834133	0.0831089	0.083059	0.0838725	0.0835678	0.083725	0.0477563	0.0477626
12.35	0.0477527	0.0831908	0.0816818	0.0848995	0.0816821	0.0851459	0.0836382	0.0834384	0.0837342	0.0477537	0.0477632
12.45	0.0477888	0.087848	0.0813155	0.0848824	0.0832084	0.0849556	0.0835078	0.0839574	0.0833437	0.0477502	0.0477621
12.55	0.0477446	0.082334	0.0863086	0.0847519	0.0842592	0.0845637	0.0833979	0.0839207	0.08345	0.0477474	0.0477586
12.65	0.0477805	0.084281	0.0867241	0.0834176	0.0856506	0.0835311	0.0841604	0.0835319	0.0834989	0.0477456	0.0477517
12.75	0.0477994	0.0828539	0.085377	0.0826389	0.0868847	0.0828992	0.0858539	0.0835043	0.0840734	0.0477412	0.0477445
12.85	0.0478275	0.082702	0.0827947	0.0836016	0.0827997	0.0840069	0.083597	0.0835805	0.0838044	0.047741	0.0477384
12.95	0.0478039	0.0849215	0.0824921	0.083965	0.0828872	0.0843316	0.0828307	0.0834312	0.0837731	0.0477442	0.0477326
13.05	0.0477655	0.08262	0.0830798	0.0844978	0.0831945	0.0837814	0.083881	0.0832929	0.0838121	0.0477456	0.0477278
13.15	0.0477399	0.079499	0.0861527	0.080243	0.0850185	0.0817463	0.0846376	0.0835778	0.0839693	0.0477476	0.0477236
13.25	0.047717	0.0824342	0.0830184	0.0843859	0.0827127	0.0837913	0.0831194	0.083171	0.0836662	0.0477527	0.0477219
13.35	0.0477032	0.0870115	0.0806803	0.0838011	0.0830926	0.0831813	0.0836619	0.0832073	0.0837157	0.0477547	0.0477188
13.45	0.0477132	0.0830214	0.0872189	0.0830091	0.0850123	0.0840817	0.084208	0.0833768	0.0839482	0.0477521	0.0477154
13.55	0.0477245	0.083549	0.0803548	0.0844283	0.0822981	0.0844718	0.0839504	0.0834422	0.0835417	0.047746	0.0477125
13.65	0.047701	0.0814054	0.087543	0.0834904	0.0832763	0.0829128	0.0832583	0.0831697	0.0834923	0.0477403	0.0477102
13.75	0.0476641	0.081773	0.0835231	0.0835019	0.0848757	0.0831117	0.08474	0.083173	0.0838581	0.047732	0.0477066
13.85	0.04775	0.0849337	0.0829641	0.0842728	0.0829375	0.0836516	0.0843011	0.0832662	0.0834532	0.0477213	0.0477026
13.95	0.0477634	0.0838588	0.0828993	0.0836215	0.0838376	0.0841309	0.0831063	0.0834334	0.0832432	0.0477102	0.0477005
14.05	0.0477374	0.0809269	0.0857638	0.0825951	0.0834115	0.083257	0.0839315	0.0832402	0.0832994	0.0477011	0.0476946
14.15	0.0478045	0.0851272	0.0838757	0.0853884	0.085492	0.0841809	0.0845964	0.0835018	0.0836527	0.0476939	0.0476678
14.25	0.0478109	0.0854124	0.0842583	0.0841271	0.0848268	0.0842275	0.083655	0.0831799	0.0834665	0.0476923	0.0476174
14.35	0.047768	0.0851426	0.083094	0.0832961	0.0830118	0.0832208	0.0833528	0.0832188	0.0832628	0.0476888	0.0475438
14.45	0.0476612	0.0852444	0.0850954	0.0831015	0.0853452	0.0832563	0.0851849	0.0833293	0.0832434	0.0476854	0.0474457
14.55	0.0476547	0.0830001	0.0828921	0.0830891	0.0849677	0.0837088	0.0837404	0.0833546	0.0834609	0.0476824	0.0473242
14.65	0.0476463	0.0825911	0.0831212	0.082611	0.0831115	0.0830825	0.0835428	0.0832905	0.0834659	0.0476796	0.0471807
14.75	0.0476074	0.0843729	0.0852218	0.0846179	0.0834138	0.0845915	0.0834243	0.0833276	0.0835608	0.0476766	0.0470134
14.85	0.0475955	0.0838343	0.0835472	0.0844138	0.0841487	0.0836916	0.0835721	0.0830917	0.0831142	0.0476693	0.0468231
14.95	0.0476012	0.0842192	0.0855224	0.0838069	0.0834166	0.0836463	0.0836796	0.0830472	0.0832913	0.0476626	0.04661
15.05	0.0476087	0.0810963	0.0904307	0.0823854	0.0844611	0.0827316	0.0837646	0.0833388	0.08326	0.0476504	0.0463769
15.15	0.0476695	0.0849716	0.0834465	0.0842863	0.0842718	0.0831497	0.0833824	0.083256	0.0834041	0.0475985	0.0461235
15.25	0.0476545	0.0828832	0.0821455	0.0836748	0.0848289	0.0839407	0.0841772	0.0831479	0.0837915	0.0474999	0.0458508
15.35	0.0476479	0.0841623	0.0817489	0.084683	0.0837476	0.0838858	0.0844221	0.0830211	0.0838974	0.0473603	0.0455575
15.45	0.0476646	0.0841442	0.0816187	0.084647	0.0847523	0.0841214	0.0850515	0.0830718	0.0840555	0.0471789	0.0452452
15.55	0.0476294	0.0819648	0.0839206	0.0827883	0.0845438	0.0828813	0.0848615	0.0831994	0.0848314	0.0469566	0.0449134
15.65	0.0476564	0.0835804	0.0809268	0.0848865	0.0840388	0.0835902	0.0849375	0.0832102	0.0845344	0.0466925	0.0445643
15.75	0.0475857	0.0847983	0.0895006	0.0830426	0.0866534	0.0833027	0.0863411	0.0831361	0.085645	0.0463861	0.0441979
15.85	0.0475975	0.0832203	0.0877163	0.0834888	0.0874681	0.0841117	0.0873932	0.0829646	0.0864553	0.0460382	0.0438128
