0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	inf	0	0
11.55	0.0703847	0.173943	0.170654	0.173903	0.172831	0.174661	0.175338	0.173335	0.174288	0.0712812	0.0713331
11.65	0.0705822	0.167104	0.177434	0.171722	0.176832	0.173751	0.17615	0.173997	0.173456	0.0712601	0.0713834
11.75	0.0709442	0.176101	0.174531	0.177797	0.1735	0.177642	0.17535	0.174238	0.174315	0.0712454	0.0714214
11.85	0.0711483	0.17992	0.182298	0.178691	0.180036	0.177584	0.176083	0.175065	0.174626	0.0712372	0.0714455
11.95	0.0712284	0.180046	0.176679	0.176605	0.175267	0.177835	0.176567	0.174078	0.174298	0.0712323	0.0714568
12.05	0.0713505	0.176571	0.173103	0.176174	0.175334	0.175307	0.17618	0.173662	0.173987	0.0712332	0.0714515
12.15	0.0715334	0.175057	0.180526	0.17605	0.178025	0.1775	0.179002	0.174822	0.174051	0.0712438	0.0714398
12.25	0.0716463	0.17043	0.181461	0.176246	0.180112	0.175687	0.179441	0.174224	0.175398	0.0712638	0.0714172
12.35	0.0717862	0.176494	0.171876	0.174343	0.174381	0.174389	0.175804	0.17481	0.174438	0.0712904	0.0713916
12.45	0.0718019	0.177946	0.175224	0.177905	0.173626	0.178129	0.17456	0.174465	0.174483	0.0713238	0.0713651
12.55	0.0718467	0.175879	0.174297	0.177403	0.177872	0.176816	0.178571	0.17474	0.175181	0.0713532	0.0713419
12.65	0.0718182	0.180944	0.178574	0.180801	0.177638	0.179641	0.177218	0.174323	0.174593	0.0713873	0.071323
12.75	0.0716988	0.1718	0.184868	0.174729	0.178716	0.175343	0.176759	0.174306	0.175359	0.0714115	0.0713024
12.85	0.0715056	0.173344	0.174129	0.177105	0.175389	0.177668	0.175307	0.174381	0.175037	0.0714188	0.0712907
12.95	0.0712574	0.178656	0.179788	0.175807	0.176635	0.175508	0.177015	0.174046	0.174277	0.0714253	0.0712867
13.05	0.0712767	0.177385	0.16997	0.175911	0.178003	0.175956	0.175793	0.174108	0.174153	0.071431	0.0712885
13.15	0.0711847	0.175829	0.16839	0.177286	0.17571	0.175441	0.177908	0.173926	0.174646	0.071427	0.0712942
13.25	0.0711388	0.179685	0.175187	0.176707	0.177446	0.174688	0.176711	0.173824	0.175352	0.0714264	0.0713072
13.35	0.0712425	0.173844	0.17514	0.17683	0.174932	0.176938	0.174515	0.17449	0.174705	0.0714193	0.0713253
13.45	0.0712968	0.178451	0.18686	0.175738	0.179042	0.177329	0.17787	0.174797	0.174558	0.0714086	0.0713436
13.55	0.0710457	0.176681	0.17043	0.178523	0.175177	0.177144	0.175239	0.173763	0.174881	0.0713937	0.07136
13.65	0.0713388	0.174735	0.17876	0.176175	0.177713	0.176384	0.176868	0.174682	0.174907	0.0713766	0.0713777
13.75	0.0712241	0.177275	0.189114	0.177024	0.180271	0.175741	0.178483	0.173485	0.175674	0.0713511	0.0713909
13.85	0.0713865	0.179141	0.17398	0.176676	0.173772	0.17585	0.174312	0.17377	0.174755	0.0713365	0.0713963
13.95	0.0712965	0.178218	0.181292	0.175502	0.178435	0.176106	0.179343	0.17431	0.174664	0.0713333	0.0714004
14.05	0.0714182	0.176974	0.182748	0.175853	0.177059	0.175971	0.176501	0.174792	0.174334	0.0713358	0.0713978
14.15	0.071464	0.177961	0.178892	0.177153	0.177088	0.176644	0.176101	0.174555	0.173476	0.0713374	0.0713613
14.25	0.0715249	0.177417	0.184727	0.177402	0.176414	0.176632	0.176564	0.174739	0.175432	0.0713444	0.071285
14.35	0.0716317	0.17852	0.17652	0.177867	0.179439	0.176301	0.178669	0.174603	0.174463	0.0713553	0.0711687
14.45	0.0714488	0.17388	0.166357	0.174227	0.172433	0.17632	0.174251	0.174024	0.174795	0.0713607	0.0710152
14.55	0.0715017	0.184995	0.179641	0.177848	0.17658	0.177389	0.175656	0.174987	0.1738	0.0713659	0.070825
14.65	0.0713853	0.178362	0.180322	0.177276	0.179147	0.177437	0.177668	0.174098	0.174163	0.0713694	0.0705998
14.75	0.0711904	0.177831	0.184364	0.175896	0.180939	0.176151	0.177294	0.173266	0.17444	0.0713731	0.0703416
14.85	0.0713445	0.175172	0.171012	0.176429	0.179866	0.176152	0.178317	0.173873	0.174486	0.0713769	0.0700545
14.95	0.0713279	0.174361	0.177458	0.177022	0.176472	0.176673	0.177193	0.174515	0.174825	0.0713787	0.0697391
15.05	0.0712719	0.176271	0.171074	0.178298	0.175906	0.17579	0.177043	0.174803	0.175052	0.071369	0.0693957
15.15	0.0712438	0.17801	0.179223	0.177997	0.177094	0.176902	0.176494	0.173967	0.174755	0.0713043	0.0690225
15.25	0.0713914	0.177906	0.181115	0.180461	0.17878	0.177726	0.178348	0.174829	0.174558	0.071162	0.0686209
15.35	0.0714891	0.178467	0.170316	0.177781	0.181681	0.177514	0.179825	0.174482	0.177097	0.0709508	0.0681879
15.45	0.0712695	0.176309	0.17379	0.175834	0.179874	0.176053	0.177618	0.174228	0.175836	0.0706727	0.0677255
15.55	0.0712612	0.182388	0.177171	0.178942	0.176718	0.177859	0.177087	0.17409	0.177513	0.0703294	0.0672407
15.65	0.0713631	0.177042	0.18979	0.176205	0.183724	0.176432	0.182322	0.174563	0.177518	0.0699223	0.066727
15.75	0.0713579	0.170287	0.188046	0.175889	0.182353	0.175173	0.181741	0.174348	0.179946	0.0694603	0.0661819
15.85	0.0713658	0.171747	0.177649	0.176884	0.180653	0.17705	0.181523	0.174309	0.181021	0.0689342	0.0656085
