0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	inf	0	0.0414445
0.05	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	inf	0	0.0414445
0.15	0	-nan	-nan	-nan	inf	-nan	inf	-nan	inf	0	0.0410111
0.25	0	-nan	inf	-nan	inf	-nan	inf	-nan	inf	0	0.0406356
0.35	0	-nan	inf	-nan	inf	-nan	inf	-nan	inf	0	0.040273
0.45	0	-nan	inf	-nan	inf	-nan	inf	-nan	inf	0	0.0399275
0.55	0	-nan	inf	-nan	inf	-nan	inf	-nan	inf	0	0.0396001
0.65	0	-nan	inf	-nan	inf	-nan	inf	-nan	inf	0	0.0393158
0.75	0	-nan	inf	-nan	inf	-nan	inf	-nan	inf	0	0.0390535
0.85	0	-nan	inf	-nan	inf	-nan	inf	-nan	inf	0	0.0388342
0.95	0	-nan	inf	-nan	inf	-nan	inf	-nan	inf	0	0.0386512
1.05	0	-nan	0.419406	-nan	0.227587	-nan	0.242438	-nan	0.289511	0.00401207	0.0385041
1.15	0	-nan	0.11188	-nan	0.108107	-nan	0.109916	-nan	0.10284	0.0107484	0.0383995
1.25	0	-nan	0.0520632	-nan	0.0676551	-nan	0.0816657	-nan	0.0724294	0.016293	0.0383411
1.35	0	-nan	0.0695557	-nan	0.054927	-nan	0.0566369	-nan	0.0483134	0.0209129	0.0383224
1.45	0	-nan	0.045748	-nan	0.0406486	-nan	0.0408822	-nan	0.0365908	0.024807	0.0383512
1.55	0	-nan	0.0274684	-nan	0.0302032	-nan	0.0268556	-nan	0.0295296	0.0281231	0.0384253
1.65	0	-nan	0.017283	-nan	0.0182184	-nan	0.020564	-nan	0.0233982	0.0309924	0.0385541
1.75	0	-nan	0.0206833	-nan	0.0209335	-nan	0.0226021	-nan	0.0256511	0.0334879	0.0387337
1.85	0	-nan	0.0379817	-nan	0.0507666	-nan	0.0479223	-nan	0.046344	0.0356966	0.0389688
1.95	0	-nan	0.0675694	-nan	0.066062	-nan	0.0626073	-nan	0.0584272	0.0376696	0.0392603
2.05	0.080509	0.0611321	0.059178	0.0680802	0.0681074	0.066852	0.0710296	0.0666266	0.068977	0.0394512	0.0396175
2.15	0.0752383	0.0661436	0.0621343	0.0709569	0.0721587	0.0697216	0.0730991	0.0675353	0.0725629	0.0410852	0.0400338
2.25	0.0705784	0.0601159	0.0817556	0.0679186	0.0807398	0.0698867	0.0829718	0.0691754	0.0797951	0.0426069	0.0404959
2.35	0.0663383	0.0626128	0.0954163	0.0687018	0.088729	0.0691557	0.0864512	0.0689421	0.0831244	0.0440349	0.0409817
2.45	0.0627615	0.0740882	0.0875813	0.0739882	0.0823907	0.0714194	0.081669	0.0716536	0.0850193	0.0453996	0.0414822
2.55	0.0594358	0.0696458	0.089044	0.0723958	0.0904919	0.0730623	0.0893564	0.0721099	0.0883282	0.0467167	0.0419994
2.65	0.0566312	0.0758517	0.0888754	0.0747549	0.0987459	0.0738514	0.0929995	0.0732636	0.0900456	0.0480138	0.0425235
2.75	0.0541772	0.074112	0.0956696	0.0750529	0.0930006	0.0757752	0.0972181	0.0751585	0.0923834	0.0493001	0.0430524
2.85	0.0521183	0.0725119	0.0903469	0.0761775	0.0925041	0.077313	0.0949401	0.076147	0.0950911	0.0505933	0.0435791
