0	0.014154	0.0156318	0.0171216	0.0171379	0.0171216
0.0990099	0.0141537	0.0156348	0.017131	0.0171473	0.017131
0.19802	0.0141529	0.0156445	0.017159	0.0171754	0.017159
0.29703	0.0141528	0.015663	0.0172059	0.0172223	0.0172059
0.39604	0.0141551	0.0156934	0.0172718	0.0172881	0.0172718
0.49505	0.0141621	0.0157403	0.017357	0.0173731	0.017357
0.594059	0.0141765	0.0158088	0.0174618	0.0174775	0.0174618
0.693069	0.0142015	0.0159049	0.0175865	0.0176015	0.0175865
0.792079	0.0142401	0.0160348	0.0177312	0.0177451	0.0177312
0.891089	0.0142957	0.0162044	0.0178958	0.0179081	0.0178958
0.990099	0.014371	0.0164191	0.0180794	0.0180895	0.0180794
1.08911	0.0144687	0.0166832	0.0182793	0.0182867	0.0182793
1.18812	0.0145906	0.0169988	0.0184904	0.0184946	0.0184904
1.28713	0.014738	0.0173654	0.0187032	0.0187037	0.0187032
1.38614	0.0149117	0.0177786	0.0189021	0.0188989	0.0189021
1.48515	0.0151116	0.01823	0.0190642	0.0190573	0.0190642
1.58416	0.0153371	0.0187066	0.0191594	0.0191489	0.0191594
1.68317	0.0155872	0.019192	0.0191526	0.019137	0.0191526
1.78218	0.0158604	0.0196687	0.0190083	0.0189827	0.0190083
1.88119	0.016155	0.0201213	0.0186973	0.0186503	0.0186973
1.9802	0.0164692	0.0205401	0.0182035	0.018114	0.0182035
2.07921	0.0168008	0.0209237	0.0175283	0.017364	0.0175283
2.17822	0.017148	0.02128	0.0166912	0.0164102	0.0166912
2.27723	0.0175086	0.0216242	0.0157262	0.0152814	0.0157262
2.37624	0.0178808	0.021975	0.0146745	0.0140211	0.0146745
2.47525	0.0182625	0.022351	0.0135774	0.0126804	0.0135774
2.57426	0.0186517	0.022767	0.0124698	0.0113103	0.0124698
2.67327	0.0190466	0.0232324	0.0113775	0.00995539	0.0113775
2.77228	0.0194452	0.0237515	0.0103165	0.00865028	0.0103165
2.87129	0.0198456	0.0243236	0.00929513	0.0074194	0.00929513
2.9703	0.0202459	0.0249452	0.00831609	0.00627824	0.00831609
3.06931	1.11362e-06	0.000646185	0.007379	0.00523574	0.007379
3.16832	1.11362e-06	0.000473289	0.00648239	0.0042965	0.00648239
3.26733	1.11362e-06	0.000334789	0.00562527	0.00346239	0.00562527
3.36634	1.11362e-06	0.000227042	0.00480834	0.0027335	0.00480834
3.46535	1.11362e-06	0.000146113	0.00403488	0.00210838	0.00403488
3.56436	1.11362e-06	8.78468e-05	0.0033111	0.001584	0.0033111
3.66337	1.11362e-06	4.7967e-05	0.00264589	0.0011554	0.00264589
3.76238	1.11362e-06	2.22506e-05	0.00204955	0.000815496	0.00204955
3.86139	1.11362e-06	6.77213e-06	0.00153181	0.000555088	0.00153181
3.9604	1.11362e-06	-1.84268e-06	0.00109953	0.000363195	0.00109953
4.05941	1.11362e-06	-6.23684e-06	0.00075464	0.000227767	0.00075464
4.15842	1.11362e-06	-8.27403e-06	0.000493197	0.000136604	0.000493197
4.25743	1.11362e-06	-9.12633e-06	0.000305828	7.82974e-05	0.000305828
4.35644	1.11362e-06	-9.4463e-06	0.000179406	4.29918e-05	0.000179406
4.45545	1.11362e-06	-9.55377e-06	9.93788e-05	2.28196e-05	9.93788e-05
4.55446	1.11362e-06	-9.58611e-06	5.19919e-05	1.19827e-05	5.19919e-05
4.65347	1.11362e-06	-9.59493e-06	2.58159e-05	6.54833e-06	2.58159e-05
4.75248	1.11362e-06	-9.59717e-06	1.23849e-05	4.09094e-06	1.23849e-05
4.85149	1.11362e-06	-9.59772e-06	6.08999e-06	3.28699e-06	6.08999e-06
