-6.75	0.192596	7.49126	18.548	0.772729	1.94034	0.186409	0.510417	0.10264	0.280459	0.0571497
-5.25	0.0533344	6.62493	6.81616	0.65657	0.675524	0.136734	0.129859	0.0751314	0.0721472	0.0518375
-3.75	0.0562974	8.89136	6.77975	0.984845	0.783887	0.199286	0.150692	0.109137	0.0820119	0.0521172
-2.25	0.0503714	18.1209	17.5827	1.79589	1.74254	0.367505	0.372197	0.212132	0.20383	0.0602863
-0.75	0.0681495	11.2334	19.0551	1.15611	1.88847	0.230476	0.363029	0.145033	0.220026	0.0679897
0.75	0.0711126	7.86712	8.11897	0.82071	0.894034	0.212987	0.206237	0.131478	0.13095	0.0652797
2.25	0.0622234	9.9374	17.1858	1.03175	1.70321	0.279474	0.418362	0.15026	0.225215	0.061679
3.75	0.0592605	14.9059	12.7902	1.5265	1.35813	0.321845	0.313294	0.175804	0.157482	0.0644591
5.25	0.0562974	8.36836	7.20161	0.881184	0.815675	0.239143	0.196001	0.123372	0.130671	0.0572414
6.75	0.219264	6.8487	17.3503	0.692054	1.71951	0.168854	0.477457	0.097466	0.271093	0.0610946
