#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0167740825 0.00795810469012 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 46.050775 0.0139646148801 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 7.81139 0.0131808895754 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 21.4643 0.0234843831088 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 31.808625 0.00692534972041 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.48763875 0.00620897226173 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 11.82635 0.00386595719066 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.022222565 0.00552052636772 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 9.6612625 0.0117898374538 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 17.605775 0.0190472890131 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 38.4867 0.0290217375427 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 14.4246 0.016699513466 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.0204880175 0.00672376179164 2.0 1.1 0.6
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 26.139125 0.0159273889495 2.0 1.1 0.6
