#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0177914325 0.00518791633859 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 8.6616 0.000527813887654 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 0.29768375 0.00348712914471 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 1.255725 0.00214194566925 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 2.9410575 0.00210450224222 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.24653325 0.00421533958263 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 0.48830475 0.00325734388296 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.05129625 0.0063548297759 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 0.3758435 0.00210905946158 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 0.88310325 0.00287030330224 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 4.8393 0.00097008375927 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 0.64182275 0.00322683675166 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.00963350775 0.00294139183804 2.0 1.1 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 1.8776225 0.000949219251543 2.0 1.1 0.01
