#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.02089005 0.014504663017 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 14.15561 0.00395917794498 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.6 0.02689235 0.0108845090531 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 1.705399 0.00515062917516 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 5.93684875 0.00524963166491 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 8.46656111111 0.00616735540587 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.4763276 0.00789140820792 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 2.936163 0.00524253641857 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.04321668 0.0118563355245 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 2.245219 0.00632602062121 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 4.822486 0.00375239662083 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.9 0.034266102 0.0108879348602 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 10.39881 0.00452553753713 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.7 0.023815781 0.0105231273024 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 3.80883888889 0.00469552096649 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.021913929 0.00896922743189 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.8 0.05213363 0.0120764706011 2.0 1.3 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 7.09405125 0.00617502364305 2.0 1.3 0.0
