#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.04092425 0.0257059742461 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 18.343275 0.00294095541449 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 2.21676 0.00865085906139 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 8.0591275 0.0063338696456 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 11.781075 0.00648029464994 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.430693 0.0130629226582 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 3.8287475 0.00558449569679 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.0642581 0.0116465173762 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 2.90899 0.0208385931027 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 6.4644775 0.00387673086343 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 14.255925 0.00996063345124 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 5.04037 0.00587935902119 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 -0.009768481075 0.00689968305781 2.0 1.3 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 9.8436725 0.00581655221652 2.0 1.3 0.02
