#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 9.985655 0.000931936827258 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 1.069075 0.00282952403241 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 2.628425 0.00263152166056 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 4.3562275 0.000834321393409 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.28514675 0.0103379214656 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 1.502465 0.00192540093227 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 1.2653575 0.00168016135758 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 2.1581775 0.00239937850026 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 6.2149025 0.00100411886124 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 1.803685 0.00164363355101 2.0 1.1 0.06
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 3.2978725 0.0020085111868 2.0 1.1 0.06
