#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0168555375 0.00561069915379 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 44.6054 0.00324903831926 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 8.0198925 0.00397630383491 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 19.769025 0.0105567735957 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 29.71725 0.0135991957483 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.8076745 0.0072413670196 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 11.404475 0.00948079473198 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.036575325 0.00746987805468 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 9.57025 0.005247076567 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 16.3517 0.00399139699855 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 36.5686 0.0188839879263 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 13.617575 0.012114060787 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.0064349525 0.00645311355324 2.0 1.1 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 24.1466 0.0045835302988 2.0 1.1 0.4
