#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.005518475 0.0276923083133 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 16.105875 0.00385379277466 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 1.9237775 0.00455379563524 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 6.93838 0.00271242050575 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 10.0307 0.00540774906962 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.446674 0.0105840585552 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 3.32847 0.0101872573591 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.0331520875 0.017042225297 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 2.530965 0.0126452048718 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 5.58406 0.00674799507261 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 12.21455 0.00376073463568 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 4.36989 0.00957324069999 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 -0.0069909 0.0167991331896 2.0 1.3 0.01
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 8.399835 0.00367621493523 2.0 1.3 0.01
