#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.019506415 0.00860421742842 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 20.897225 0.0100311000768 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 1.8662025 0.00943396945551 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 6.52819 0.0162005798507 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 11.245725 0.028133196028 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.040914475 0.00532684154605 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 3.16011 0.014531579835 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.0215649 0.00209416351827 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 2.44681 0.00707256318459 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 5.08954 0.00516617484218 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 15.424425 0.0314685830433 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 4.0140075 0.0111948572875 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.008096245 0.00521256265491 2.0 1.1 0.8
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 8.50667 0.00615913041752 2.0 1.1 0.8
