#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.004879205 0.00164554673309 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 9.3377225 0.00064427648374 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 0.7290425 0.00127840122321 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 2.0039425 0.00234929610469 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 3.6889375 0.000565302739689 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.26358575 0.00342399913068 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 1.04902 0.00316973776518 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.0435614 0.00532786851975 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 0.87526775 0.00348474888577 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 1.58651 0.00178283832694 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 5.552885 0.0016191104811 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 1.2908875 0.00152571038782 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.010618675 0.0061047199242 2.0 1.1 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 2.64004 0.00128379807602 2.0 1.1 0.04
