#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.002891625 0.017015973072 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 47.8301 0.0148783819685 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 5.2339725 0.0028497793226 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 19.484675 0.0115448243274 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 32.17345 0.0168831461819 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.53239325 0.00999686449202 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 8.6260625 0.00952738971007 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.00524808 0.0147335796354 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 6.6752 0.0198492836773 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 14.8606 0.0153415693461 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 39.718975 0.0296155021695 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 11.303925 0.00536357798023 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.062613525 0.0104622732607 2.0 1.3 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 25.30725 0.0133006813735 2.0 1.3 0.1
