#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.010558765 0.00584621938653 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 21.0063 0.000918558653543 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 3.97319 0.00485205497702 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 9.4126475 0.00629241842915 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 13.5798 0.00392444263559 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.57605825 0.00476083191752 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 5.5224175 0.00150698115035 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.032770945 0.0081486945662 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 4.68163 0.00389248474628 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 7.8612125 0.00196111694896 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 16.515975 0.00558752796414 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 6.574305 0.00327276736876 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.02641355 0.00663496358934 2.0 1.1 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 11.285 0.00385081160277 2.0 1.1 0.2
