#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0105069 0.0194635088021 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 23.5847 0.00644137019585 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 2.86882 0.0082972721421 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 10.557425 0.0107651854954 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 15.787675 0.00989674030931 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.41983025 0.00748798729946 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 4.9253875 0.00639645250803 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.067232775 0.0118253747044 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 3.75926 0.0123937015254 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 8.33337 0.00557778741976 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 19.00245 0.00861484909908 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 6.4751825 0.00665817202297 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 -0.006301045 0.0154998871466 2.0 1.3 0.04
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 13.03555 0.00512902281141 2.0 1.3 0.04
