#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0274668 0.00515581885931 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 11.845675 0.00116209670424 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 1.8168425 0.00265252326804 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 4.1417375 0.00265512093651 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 6.1391425 0.00339496939419 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.372002 0.00307281572829 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 2.52083 0.00367928321824 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.04355355 0.00533279751239 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 2.1320575 0.00318004397572 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 3.5012075 0.00314423554898 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 8.0518875 0.00232404920075 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 2.965515 0.00316179241096 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.0255176225 0.0088385933235 2.0 1.1 0.1
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 4.96141 0.00197683775257 2.0 1.1 0.1
