#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0168524275 0.0162686993596 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 224.664 0.677064712564 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 9.457515 0.0116047514515 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 37.719825 0.0351928503925 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 89.6303 0.0763887344443 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.8205815 0.0153626629873 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 15.0197 0.00226605383873 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.0437347 0.0165383107457 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 11.804475 0.0160764336452 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 26.555375 0.0209638789052 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 137.05925 0.348926456255 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 19.7138 0.0250874719731 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.01773950075 0.022872294347 2.0 1.3 0.2
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 55.068725 0.0497118870971 2.0 1.3 0.2
