#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.017042697 0.00514753240496 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 8.52744 0.000307242575175 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 0.1973957 0.00161466463422 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 1.075359 0.00120645716874 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 2.774718 0.000958975286439 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.2514643 0.00326235891051 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 0.3462154 0.00155474639218 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.05339174 0.00315599092439 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 0.2495426 0.00149704008096 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 0.7097656 0.00157730618588 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 4.69187 0.000696893105146 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 0.4860088 0.0018469255253 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.024886056 0.00325691561636 2.0 1.1 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 1.698928 0.00100310597646 2.0 1.1 0.0
