#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0115076625 0.00147329032376 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 8.8482075 0.00030690745755 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 0.424351 0.00400943086672 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 1.4782075 0.00356553532972 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 3.1542975 0.00117181149828 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.25673525 0.00459576899679 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 0.6623785 0.00235569494789 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.047026175 0.00532086356917 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 0.52411475 0.00252802297693 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 1.08972 0.00293438025825 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 5.0399675 0.00188883024317 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 0.84007025 0.00306659940681 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.019290445 0.00833777304975 2.0 1.1 0.02
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 2.1002775 0.00173590529336 2.0 1.1 0.02
