#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.02066055 0.00635756516948 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 10.812175 0.000820346725476 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 1.4341775 0.00358968900986 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 3.339555 0.00189636000011 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 5.1698425 0.00140769925321 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.32689925 0.00251733634957 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 2.001265 0.00118038923665 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.0404271 0.0068947377655 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 1.6828525 0.00222548976351 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 2.799395 0.00200657201466 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 7.04642 0.00126299742676 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 2.357255 0.00205231119716 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.0177416825 0.00985468145154 2.0 1.1 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 4.06765 0.00163967603508 2.0 1.1 0.08
