#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0078622375 0.00219839297588 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 12.8628 7.07106781185e-05 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 1.3412775 0.000847963553167 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 3.7314575 0.000639759476288 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 6.4142925 0.000312057186266 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.44690225 0.00236494564882 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 1.9045775 0.00122918354508 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.084275925 0.00242693435618 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 1.580905 0.000972172181252 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 2.923865 0.000379168498164 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 8.7508725 0.000352639600017 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 2.3370775 0.000677674101246 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.019098625 0.0038146329226 2.0 0.9 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 4.8458975 0.000346308659291 2.0 0.9 0.0
