#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.01074012 0.0011765845143 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 19.50315 0.00010307764064 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 5.6830075 0.00036916078814 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 9.83718 0.000246551211719 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 12.908075 0.000181572988079 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 2.05541 0.00107265441779 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 7.0078225 0.000114802820087 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.49939825 0.000678683871088 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 6.3050325 0.00023147286558 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 8.74032 0.000159608896995 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 15.34225 4.33012701891e-05 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 7.8118525 0.000317930318623 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.069656 0.00120392254163 2.0 0.5 0.0
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 11.179875 0.00013863170633 2.0 0.5 0.0
