#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.00839754 0.0160663842361 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.01 37.951425 0.0154119424068 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 4.4021125 0.00783910898556 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 16.285275 0.00714417376258 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.03 25.887325 0.0130200026402 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 0.48637475 0.0049312571467 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 7.35554 0.00286442184393 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.0350777 0.00555274771701 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 5.6712875 0.0022456496137 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 12.581475 0.0092489441965 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.02 31.52715 0.00832109518032 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 9.620045 0.00862485398427 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.064297165 0.0372482321871 2.0 1.3 0.08
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 20.781875 0.0150222491242 2.0 1.3 0.08
