#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.5 0.0398886875 0.0164371413209 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.09 21.118975 0.013041250659 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.1 16.993375 0.0216479899471 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.05 53.590575 0.0209177668203 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.4 0.014216585 0.00707218242789 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.3 0.054779525 0.00616487631642 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.2 1.158155 0.0166047389696 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.06 41.500825 0.00840657294919 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.04 74.796 0.0858693265957 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.07 32.838875 0.0112616259372 2.0 1.3 0.4
#gw     mean_FE[gw]     mean_FE_uncertainty[gw]   kT   n  fv
0.08 26.314325 0.00936959010576 2.0 1.3 0.4
