# E	 Serror
-509	0.04801
-510	0.04774
-511	0.04635
-512	0.04816
-513	0.0486
-514	0.046
-515	0.04536
-516	0.04355
-517	0.04292
-518	0.0418
-519	0.04283
-520	0.04131
-521	0.04213
-522	0.04324
-523	0.04411
-524	0.04418
-525	0.0452
-526	0.04585
-527	0.04679
-528	0.0491
-529	0.04785
-530	0.04821
-531	0.04974
-532	0.05095
-533	0.05227
-534	0.05576
-535	0.05557
-536	0.05493
-537	0.05509
-538	0.05304
-539	0.0551
-540	0.05543
-541	0.05758
-542	0.0593
-543	0.06021
-544	0.0599
-545	0.05963
-546	0.0614
-547	0.05912
-548	0.0587
-549	0.05875
-550	0.05855
-551	0.05787
-552	0.05851
-553	0.05815
-554	0.05783
-555	0.05849
-556	0.05682
-557	0.05751
-558	0.05815
-559	0.05748
-560	0.05855
-561	0.05819
-562	0.058
-563	0.05791
-564	0.05474
-565	0.05537
-566	0.05689
-567	0.0549
-568	0.05271
-569	0.05314
-570	0.05187
-571	0.05083
-572	0.05064
-573	0.05163
-574	0.0505
-575	0.05059
-576	0.04973
-577	0.05013
-578	0.04936
-579	0.04863
-580	0.04594
-581	0.0448
-582	0.04307
-583	0.04568
-584	0.0436
-585	0.04258
-586	0.04227
-587	0.04375
-588	0.0435
-589	0.0414
-590	0.04253
-591	0.04203
-592	0.03857
-593	0.03703
-594	0.03934
-595	0.03859
-596	0.03871
-597	0.0392
-598	0.03812
-599	0.03748
-600	0.03696
-601	0.03721
-602	0.03639
-603	0.0341
-604	0.03392
-605	0.0351
-606	0.03659
-607	0.03873
-608	0.03819
-609	0.03773
-610	0.03777
-611	0.03866
-612	0.03752
-613	0.03986
-614	0.04306
-615	0.04343
-616	0.0398
-617	0.04295
-618	0.04298
-619	0.04498
-620	0.04596
-621	0.0448
-622	0.04475
-623	0.04362
-624	0.04512
-625	0.04283
-626	0.0429
-627	0.04302
-628	0.04329
-629	0.04238
-630	0.04312
-631	0.04162
-632	0.03944
-633	0.03842
-634	0.03598
-635	0.03328
-636	0.03533
-637	0.03557
-638	0.03303
-639	0.02967
-640	0.02722
-641	0.02666
-642	0.02658
-643	0.0225
-644	0.01971
-645	0.01706
-646	0.01781
-647	0.01755
-648	0.01487
-649	0.01258
-650	0.01149
-651	0.00988
-652	0.008918
-653	0.007466
-654	0.00248
-655	0.002363
-656	0.002426
-657	-0.001603
-658	-0.003045
-659	-0.003062
-660	-0.00424
-661	-0.004722
-662	-0.002851
-663	-0.005649
-664	-0.007388
-665	-0.004795
-666	-0.003575
-667	-0.006126
-668	-0.005968
-669	-0.00833
-670	-0.008718
-671	-0.009622
-672	-0.01051
-673	-0.01029
-674	-0.01115
-675	-0.01377
-676	-0.01427
-677	-0.01332
-678	-0.01498
-679	-0.01424
-680	-0.01658
-681	-0.01935
-682	-0.01862
-683	-0.01801
-684	-0.01684
-685	-0.01767
-686	-0.01765
-687	-0.01892
-688	-0.02015
-689	-0.02334
-690	-0.0229
-691	-0.02466
-692	-0.02678
-693	-0.02954
-694	-0.03003
-695	-0.03024
-696	-0.0333
-697	-0.03185
-698	-0.03242
-699	-0.03408
