# comparison reference file	(generated with python figs/parse-yaml-out.py ../../../../jordan/sad-monte-carlo/wl-50-slow 50 
#  moves	 gamma	
1	1
1	1
1	1
2	1
3	1
4	1
6	1
7	1
10	1
13	1
18	1
24	1
32	1
42	1
56	1
75	1
100	1
133	1
178	1
237	1
316	1
422	1
562	1
750	1
1000	1
1334	1
1778	1
2371	1
3162	1
4217	1
5623	1
7499	1
10000	1
13335	1
17783	1
23714	1
31623	1
42170	1
56234	1
74989	1
100000	1
133352	1
177828	1
237137	1
316228	1
421697	1
562341	1
749894	1
1000000	1
1333521	1
1778279	1
2371374	1
3162278	1
4216965	1
5623413	1
7498942	1
10000000	1
13335214	1
17782794	1
23713737	1
31622777	1
42169650	1
56234133	1
74989421	1
100000000	1
109036616	1
109036616	0.5
133352143	0.5
134510129	0.5
134510129	0.25
177827941	0.25
212436834	0.25
212436834	0.125
237137371	0.125
261385954	0.125
261385954	0.0625
316227766	0.0625
381375826	0.0625
381375826	0.03125
421696503	0.03125
447502780	0.03125
447502780	0.015625
491012802	0.015625
491012802	0.0078125
550709374	0.0078125
550709374	0.00390625
562341325	0.00390625
656216706	0.00390625
656216706	0.001953125
703527216	0.001953125
703527216	0.0009765625
749894209	0.0009765625
823721332	0.0009765625
823721332	0.00048828125
891666871	0.00048828125
891666871	0.000244140625
941377994	0.000244140625
941377994	0.0001220703125
1000000000	0.0001220703125
1005648700	0.0001220703125
1005648700	6.103515625e-05
1092371235	6.103515625e-05
1092371235	3.0517578125e-05
1204503513	3.0517578125e-05
1204503513	1.52587890625e-05
1320207030	1.52587890625e-05
1320207030	7.62939453125e-06
1333521432	7.62939453125e-06
1584931648	7.62939453125e-06
1584931648	3.814697265625e-06
1778279410	3.814697265625e-06
1850619822	3.814697265625e-06
1850619822	1.9073486328125e-06
2330282666	1.9073486328125e-06
2330282666	9.5367431640625e-07
2371373706	9.5367431640625e-07
3162277660	9.5367431640625e-07
3187445670	9.5367431640625e-07
3187445670	4.76837158203125e-07
4216965034	4.76837158203125e-07
5623413252	4.76837158203125e-07
7267518876	4.76837158203125e-07
7267518876	2.384185791015625e-07
7498942093	2.384185791015625e-07
10000000000	2.384185791015625e-07
13335214322	2.384185791015625e-07
14142450136	2.384185791015625e-07
14142450136	1.192092895507812e-07
17530101494	1.192092895507812e-07
17530101494	5.960464477539062e-08
17782794100	5.960464477539062e-08
21395593415	5.960464477539062e-08
21395593415	2.980232238769531e-08
23713737057	2.980232238769531e-08
28440521601	2.980232238769531e-08
28440521601	1.490116119384766e-08
31622776602	1.490116119384766e-08
32285377981	1.490116119384766e-08
32285377981	7.450580596923828e-09
35240633609	7.450580596923828e-09
35240633609	3.725290298461914e-09
40211060602	3.725290298461914e-09
40211060602	1.862645149230957e-09
42169650343	1.862645149230957e-09
56234132519	1.862645149230957e-09
58506928425	1.862645149230957e-09
58506928425	9.313225746154785e-10
74989420933	9.313225746154785e-10
79626253512	9.313225746154785e-10
79626253512	4.656612873077393e-10
86418956979	4.656612873077393e-10
86418956979	2.328306436538696e-10
100000000000	2.328306436538696e-10
120438747807	2.328306436538696e-10
120438747807	1.164153218269348e-10
122011032796	1.164153218269348e-10
122011032796	5.820766091346741e-11
133352143216	5.820766091346741e-11
137680100318	5.820766091346741e-11
137680100318	2.91038304567337e-11
170915876352	2.91038304567337e-11
170915876352	1.455191522836685e-11
177827941004	1.455191522836685e-11
193064795236	1.455191522836685e-11
193064795236	7.275957614183426e-12
202122488018	7.275957614183426e-12
202122488018	3.637978807091713e-12
224511380234	3.637978807091713e-12
224511380234	1.818989403545856e-12
237137370566	1.818989403545856e-12
237408808383	1.818989403545856e-12
237408808383	9.094947017729282e-13
263066357856	9.094947017729282e-13
263066357856	4.547473508864641e-13
277622697794	4.547473508864641e-13
277622697794	2.273736754432321e-13
280549436739	2.273736754432321e-13
280549436739	1.13686837721616e-13
287778011196	1.13686837721616e-13
287778011196	5.684341886080801e-14
295131861939	5.684341886080801e-14
295131861939	2.842170943040401e-14
298224543920	2.842170943040401e-14
298224543920	1.4210854715202e-14
316227766017	1.4210854715202e-14
408976664037	1.4210854715202e-14
408976664037	7.105427357601002e-15
421696503429	7.105427357601002e-15
