# comparison reference file	(generated with python figs/parse-multi-yaml-out.py /home/jordan/weniger-cp-data/ 50 sad-50-slow 
#  min_moves	 gamma	 max_mean_gamma	 min_mean_gamma	
0.02	0	0	0
0.04	0	0	0
0.06	0	0	0
0.08	0	0	0
0.12	0	0	0
0.14	0	0	0
0.2	0	0	0
0.26	0	0	0
0.36	0	0	0
0.48	0	0	0
0.64	0	0	0
0.84	0	0	0
1.12	0	0	0
1.5	0	0	0
2	0	0	0
2.66	0	0	0
3.56	0	0	0
4.74	0	0	0
6.32	0	0	0
8.44	0	0	0
11.24	0	0	0
15	0	0	0
20	0	0	0
26.68	0	0	0
35.56	0	0	0
47.42	0	0	0
63.24	0	0	0
84.34	0	0	0
112.46	0	0	0
149.98	0	0	0
200	0	0	0
266.7	0.0004287548404497603	0.001715019361799041	0
355.66	0.0003118092738487332	0.001247237095394933	0
474.28	0.0001989504609232436	0.0007958018436929745	0
632.46	0.000954038164233431	0.003816152656933724	0
843.4	0.000903802094058781	0.003615208376235124	0
1124.68	0.0005264889879067707	0.002105955951627083	0
1167.94	0.0003094733937316878	0.001237893574926751	0
1167.94	0.008202903893703933	0.01854181718238862	0
1499.78	0.00506342258906988	0.01138963964916625	0
2000	0.006155537795212287	0.01305781600770507	0.0002717335427921197
2667.04	0.003633006630777498	0.007918195396205547	0.0001694945120266972
3556.56	0.00207497640299632	0.004504229221617047	0.0001078217648830382
4742.74	0.001221885364602608	0.00256511927203248	7.089884612052443e-05
5340.3	0.005945008048835277	0.01370496773920236	0.0009668057867991778
5340.3	0.009839444032956505	0.01694954939611045	0.001196306507239664
6324.56	0.01062973534929089	0.01519979610699331	0.004273746218187496
8433.940000000001	0.00753740269269543	0.01322969564247896	0.002432928352395965
11246.82	0.004279713878964819	0.007516065820082691	0.00138848449780488
14208.38	0.002494308280068136	0.004265685412283483	0.0007954741172405597
14208.38	0.00818565753563557	0.0185762943337566	0.0007381096582026379
14997.88	0.01196314523654258	0.01851041243651944	0.001662071656861798
20000	0.00883855630511046	0.01135400876249581	0.006213471149795342
26670.42	0.005547147555809085	0.006871799741243352	0.003514187828571101
35565.58	0.0031382189880376	0.003887555682749208	0.001987180867582541
47427.48	0.00186260838404145	0.002547185334305053	0.001124435286126065
63245.56	0.002584994565079464	0.00748205148490923	0.0006371264877383007
84339.3	0.003557224416009949	0.006846154200971485	0.0003735965124461806
88887.2	0.003717934867253534	0.006402233105229423	0.0004967643829020591
88887.2	0.004296575701724272	0.006209071082660052	0.00306171746673927
112468.26	0.002793839935708047	0.004713286863478132	0.001727180260899054
149978.84	0.00157733350361953	0.002662747864972159	0.0009743598750701753
200000	0.0009951714475800216	0.001530605875382827	0.0006519319825460764
266704.28	0.002076936065038452	0.0048928049667177	0.0003689114691665309
312828.4	0.001726977981540696	0.004808427912744385	0.0002517442104325879
312828.4	0.001863940053868364	0.002714206449869737	0.0009830617259277148
355655.88	0.001697372274958926	0.002244905324254373	0.001457332384832776
474274.74	0.001121892842208944	0.001925024332152838	0.00082120876179188
632455.54	0.0006771384722859013	0.0010848488829452	0.0004628421984220865
843393	0.0006917649714016146	0.00155543384850356	0.0002609858045723591
1124682.66	0.001113337934822503	0.002411010883794047	0.0001472733044713321
1499788.42	0.0009629862574102269	0.001959284532594934	8.319331186234881e-05
2000000	0.0006129153662454756	0.001190577267411119	4.706231513092746e-05
2667042.86	0.0003455064375967764	0.0006709121721495518	2.667379532605077e-05
2995641.96	0.000198459335714981	0.0003781823537382752	2.12243234177685e-05
