# num_sad_states, t, ehi, elo
1 1 130 130
3 150 132 130
7 393 136 130
18 3896 136 119
51 8342 169 119
52 10982 169 118
66 27296 183 118
67 36920 183 117
84 83843 200 117
92 154274 208 117
98 295725 214 117
116 552392 232 117
119 13607198 235 117
122 71171073 238 117
123 88717787 239 117
126 89556990 242 117
127 90522058 243 117
128 720060461 244 117
129 1167538108 245 117
130 2570829827 246 117
131 6698411162 247 117
132 20317494660 248 117
133 1 248 117
134 6 248 117
135 14 248 117
136 24 248 117
137 28 248 117
138 30 248 117
139 42 248 117
140 43 248 117
141 53 248 117
142 58 248 117
143 63 248 117
144 65 248 117
145 73 248 117
146 83 248 117
147 95 248 117
148 100 248 117
149 121 248 117
150 146 248 117
151 195 248 117
152 198 248 117
153 206 248 117
154 211 248 117
155 214 248 117
156 226 248 117
157 228 248 117
158 235 248 117
159 243 248 117
160 255 248 117
161 345 248 117
162 346 248 117
163 348 248 117
164 364 248 117
165 371 248 117
166 374 248 117
167 434 248 117
168 440 248 117
169 443 248 117
170 445 248 117
171 448 248 117
172 453 248 117
173 455 248 117
174 462 248 117
175 471 248 117
176 477 248 117
177 494 248 117
178 518 248 117
179 578 248 117
180 680 248 117
181 693 248 117
182 709 248 117
183 710 248 117
184 719 248 117
185 734 248 117
186 737 248 117
187 750 248 117
188 753 248 117
189 758 248 117
190 760 248 117
191 765 248 117
192 769 248 117
193 770 248 117
194 806 248 117
195 833 248 117
196 898 248 117
197 983 248 117
198 991 248 117
199 1004 248 117
200 1014 248 117
201 1024 248 117
202 1026 248 117
203 1048 248 117
204 1191 248 117
205 1201 248 117
206 1220 248 117
207 1238 248 117
208 1241 248 117
209 1251 248 117
210 1280 248 117
211 1405 248 117
212 1421 248 117
213 1425 248 117
214 1440 248 117
215 1445 248 117
216 1448 248 117
217 1493 248 117
218 1503 248 117
219 3422 248 117
220 3426 248 117
221 3427 248 117
222 3437 248 117
223 3718 248 117
224 3721 248 117
225 3724 248 117
226 3725 248 117
227 3727 248 117
228 3728 248 117
229 3730 248 117
230 3732 248 117
231 3749 248 117
232 3783 248 117
233 4049 248 117
234 4051 248 117
235 4056 248 117
236 4058 248 117
237 4061 248 117
238 4127 248 117
239 4132 248 117
240 4144 248 117
241 4164 248 117
242 4174 248 117
243 5086 248 117
244 5087 248 117
245 5089 248 117
246 5166 248 117
247 5172 248 117
248 5186 248 117
249 5189 248 117
250 5190 248 117
251 5192 248 117
252 5222 248 117
253 5467 248 117
254 5506 248 117
255 5509 248 117
256 5554 248 117
257 5557 248 117
258 264084 248 117
259 1043745 248 117
260 1748998 248 117
261 1810188 248 117
262 1810994 248 117
