# comparison reference file	(generated with python figs/parse-yaml-out.py ../../../../jordan/sad-monte-carlo/wl-inv-t-50-slow 50 
#  moves	 gamma	
1	128
1	128
1	128
2	64
3	42.66666666666666
4	32
6	21.33333333333333
7	18.28571428571428
10	12.8
13	9.846153846153847
18	7.111111111111111
24	5.333333333333333
32	4
42	3.047619047619047
56	2.285714285714286
75	1.706666666666667
100	1.28
133	1
178	1
237	1
316	1
422	1
562	1
750	1
1000	1
1334	1
1778	1
2371	1
3162	1
4217	1
5623	1
7499	1
10000	1
13335	1
17783	1
23714	1
31623	1
42170	1
56234	1
74989	1
100000	1
133352	1
177828	1
237137	1
316228	1
421697	1
562341	1
749894	1
1000000	1
1333521	1
1778279	1
2371374	1
3162278	1
4216965	1
5623413	1
7498942	1
10000000	1
13335214	1
17782794	1
23713737	1
31622777	1
42169650	1
56234133	1
56319509	1
56319509	0.5
60960745	0.5
60960745	0.25
74989421	0.25
100000000	0.25
133352143	0.25
177827941	0.25
205718748	0.25
205718748	0.125
219541520	0.125
219541520	0.0625
237137371	0.0625
316227766	0.0625
357826796	0.0625
357826796	0.03125
385196861	0.03125
385196861	0.015625
421696503	0.015625
463207763	0.015625
463207763	0.0078125
472464630	0.0078125
472464630	0.00390625
562341325	0.00390625
749894209	0.00390625
809843770	0.00390625
809843770	0.001953125
832881927	0.001953125
832881927	0.0009765625
922896795	0.0009765625
922896795	0.00048828125
939716026	0.00048828125
939716026	0.000244140625
1000000000	0.000244140625
1009607953	0.000244140625
1009607953	0.0001220703125
1028506026	0.0001220703125
1028506026	6.103515625e-05
1076420894	6.103515625e-05
1076420894	3.0517578125e-05
1083407926	3.0517578125e-05
1083407926	1.52587890625e-05
1228317305	1.52587890625e-05
1228317305	7.62939453125e-06
1306341501	7.62939453125e-06
1306341501	3.814697265625e-06
1333521432	3.814697265625e-06
1440412094	3.814697265625e-06
1440412094	1.9073486328125e-06
1545283479	1.9073486328125e-06
1545283479	9.5367431640625e-07
1778279410	9.5367431640625e-07
1788835697	9.5367431640625e-07
1788835697	4.76837158203125e-07
1902857000	4.76837158203125e-07
1902857000	2.384185791015625e-07
2371373706	2.384185791015625e-07
2594955155	2.384185791015625e-07
2594955155	1.192092895507812e-07
2807712786	1.192092895507812e-07
2807712786	5.960464477539062e-08
2884565799	5.960464477539062e-08
2884565799	4.437409610984575e-08
3001227032	4.264922267966564e-08
3001227032	4.264922267966564e-08
3162277660	4.047715405231051e-08
3171395920	4.036077589454678e-08
3171395920	4.036077589454678e-08
3280650673	3.901665028021714e-08
3280650673	3.901665028021714e-08
3366001929	3.802731035214448e-08
3366001929	3.802731035214448e-08
4216965034	3.035358343452653e-08
4639054001	2.759183229434453e-08
4639054001	2.759183229434453e-08
5623413252	2.276197644810757e-08
5808724806	2.203581754601029e-08
5808724806	2.203581754601029e-08
6009876177	2.129827574316095e-08
6009876177	2.129827574316095e-08
6303887656	2.030493038342307e-08
6303887656	2.030493038342307e-08
6445676373	1.985827283171916e-08
6445676373	1.985827283171916e-08
6657970064	1.922507893090461e-08
6657970064	1.922507893090461e-08
6988262925	1.831642589492295e-08
6988262925	1.831642589492295e-08
7498942093	1.706907433242931e-08
7736835640	1.654423151219999e-08
7736835640	1.654423151219999e-08
7789046689	1.643333325768437e-08
7789046689	1.643333325768437e-08
7924984644	1.615145085447058e-08
7924984644	1.615145085447058e-08
8425739730	1.519154449362513e-08
8425739730	1.519154449362513e-08
8765332655	1.460298257214289e-08
8765332655	1.460298257214289e-08
9410978597	1.36011360222202e-08
9410978597	1.36011360222202e-08
10000000000	1.28e-08
11624361297	1.101135767631673e-08
11624361297	1.101135767631673e-08
11700053054	1.094012133186349e-08
11700053054	1.094012133186349e-08
11820098204	1.082901324429639e-08
11820098204	1.082901324429639e-08
11904575339	1.075216850286674e-08
11904575339	1.075216850286674e-08
12765940611	1.002667988990224e-08
12765940611	1.002667988990224e-08
12998115975	9.847581006831262e-09
12998115975	9.847581006831262e-09
13335214322	9.598645879191441e-09
13698045191	9.344399015715001e-09
13698045191	9.344399015715001e-09
13842219890	9.247071713726404e-09
13842219890	9.247071713726404e-09
14035157228	9.119954833469286e-09
14035157228	9.119954833469286e-09
14071655383	9.096300080986712e-09
14071655383	9.096300080986712e-09
14439564488	8.864533283283883e-09
14439564488	8.864533283283883e-09
15223710304	8.407937187714894e-09
15223710304	8.407937187714894e-09
15646774201	8.18059993425478e-09
15646774201	8.18059993425478e-09
15679913729	8.163310220467859e-09
15679913729	8.163310220467859e-09
15787948381	8.107449866889706e-09
15787948381	8.107449866889706e-09
15862180841	8.069508302991362e-09
15862180841	8.069508302991362e-09
16693984879	7.667432367272363e-09
16693984879	7.667432367272363e-09
16985584633	7.535801844071857e-09
16985584633	7.535801844071857e-09
17077656714	7.495173497372597e-09
17077656714	7.495173497372597e-09
17135278947	7.469968851741974e-09
17135278947	7.469968851741974e-09
17782794100	7.197968962594017e-09
17798375489	7.191667581072686e-09
17798375489	7.191667581072686e-09
17866041019	7.164429985572955e-09
17866041019	7.164429985572955e-09
18326410469	6.984455587553172e-09
18326410469	6.984455587553172e-09
18736467156	6.831597383555331e-09
18736467156	6.831597383555331e-09
19025412751	6.727843525669221e-09
19025412751	6.727843525669221e-09
19169981016	6.677106247166666e-09
19169981016	6.677106247166666e-09
19819952407	6.45813861565041e-09
19819952407	6.45813861565041e-09
19974606258	6.408136328030742e-09
19974606258	6.408136328030742e-09
21503665283	5.952473604636697e-09
21503665283	5.952473604636697e-09
21805660476	5.870035449780613e-09
21805660476	5.870035449780613e-09
22039459269	5.807764992675692e-09
22039459269	5.807764992675692e-09
22192449372	5.767727475881791e-09
22192449372	5.767727475881791e-09
23713737057	5.397715243798572e-09
24149475761	5.300322096710379e-09
24149475761	5.300322096710379e-09
24842377029	5.15248600609265e-09
24842377029	5.15248600609265e-09
25349917441	5.04932610916427e-09
25349917441	5.04932610916427e-09
26121169672	4.900239981872126e-09
26121169672	4.900239981872126e-09
26770210077	4.781434274584681e-09
26770210077	4.781434274584681e-09
26817802892	4.772948795077601e-09
26817802892	4.772948795077601e-09
28670974143	4.464445447914825e-09
28670974143	4.464445447914825e-09
28750789686	4.452051627031612e-09
28750789686	4.452051627031612e-09
29392769969	4.354812429553227e-09
29392769969	4.354812429553227e-09
29490610998	4.34036446408929e-09
29490610998	4.34036446408929e-09
29933583612	4.276133511414464e-09
29933583612	4.276133511414464e-09
