# num_sad_states, t, ehi, elo
1 1 130 130
42 4012 171 130
49 9710 171 123
50 10908 171 122
65 29373 186 122
92 74494 213 122
100 264700 221 122
114 1046439 235 122
124 6206456 245 122
126 73157555 245 120
127 1892670927 246 120
128 5661148134 247 120
129 23862538994 248 120
