# energies_found, t, ehi, elo
1 1 130 130
2 17 131 130
3 26 134 130
4 47 134 130
5 87 134 127
6 89 134 124
7 117 134 124
8 145 134 124
9 150 134 124
10 265 134 123
11 282 134 121
12 325 134 119
13 334 134 117
14 397 134 117
15 409 134 116
16 491 134 115
17 766 134 115
18 1100 134 115
19 1278 134 113
20 1283 134 113
21 1626 134 111
22 1667 134 111
23 3183 134 111
24 7398 134 108
25 7436 134 108
26 7447 134 107
27 7494 134 107
28 18988 134 105
29 19013 134 105
30 42303 134 105
31 56599 134 104
32 56799 134 103
33 56842 134 102
34 257626 134 101
35 533673 136 101
36 533683 136 101
37 533892 139 101
38 533935 140 101
39 533970 140 101
40 533979 140 101
41 547929 142 101
42 547945 142 101
43 549936 144 101
44 549950 145 101
45 549958 145 101
46 576677 146 101
47 579643 147 101
48 583446 148 101
49 583478 149 101
50 609427 150 101
51 651632 151 101
52 670269 152 101
53 672314 153 101
54 672941 154 101
55 673016 155 101
56 673499 156 101
57 673915 157 101
58 673937 158 101
59 743680 159 101
60 743689 161 101
61 743739 161 101
62 798088 162 101
63 801379 164 101
64 801394 165 101
65 801535 165 101
66 803423 166 101
67 867743 167 101
68 867796 168 101
69 948061 169 101
70 948183 170 101
71 951465 171 101
72 951577 172 101
73 1022037 174 101
74 1022079 174 101
75 1037107 175 101
76 1038367 176 101
77 1162147 177 101
78 1162149 178 101
79 1163744 179 101
80 1164479 180 101
81 1165318 183 101
82 1165624 183 101
83 1287786 183 101
84 1291678 184 101
85 1292952 186 101
86 1293078 186 101
87 1380634 187 101
88 1380906 188 101
89 1617018 189 101
90 1645897 190 101
91 1646364 191 101
92 1648714 192 101
93 1648764 193 101
94 2044405 194 101
95 2044674 195 101
96 2059947 196 101
97 2059957 197 101
98 2062622 198 101
99 2062643 199 101
100 2296163 200 101
101 2296234 201 101
102 2315509 203 101
103 2315541 203 101
104 2818878 204 101
105 2819202 205 101
106 2826928 207 101
107 2826929 207 101
108 2844685 208 101
109 2844747 209 101
110 2845105 210 101
111 3265573 211 101
112 3266037 212 101
113 3277120 213 101
114 3277515 215 101
115 3277552 215 101
116 4316708 215 100
117 5563069 215 99
118 5835862 216 99
119 5984306 218 99
120 5984544 218 99
121 6027580 219 99
122 6164941 220 99
123 6191749 221 99
124 6196176 222 99
125 6200768 223 99
126 6201073 224 99
127 7604575 225 99
128 9291367 226 99
129 9321420 228 99
130 9321653 228 99
131 9443717 229 99
132 9448449 230 99
133 9450386 231 99
134 13714449 233 99
135 13714463 233 99
136 20106896 233 96
137 24147569 234 96
138 24155333 235 96
139 26606370 235 96
140 29403383 235 96
141 32410585 236 96
142 32443800 237 96
143 42350427 238 96
144 50171394 239 96
145 50259807 240 96
146 71378931 241 96
147 71579572 242 96
148 71582329 243 96
149 71857014 244 96
150 71975363 245 96
151 87862344 246 96
152 93968295 247 96
153 93973971 249 96
154 93974214 249 96
155 139720469 250 96
156 156821453 251 96
157 156868929 252 96
158 156873797 253 96
159 196112098 254 96
160 221703557 255 96
161 279789766 255 94
162 279789785 255 94
163 387087361 256 94
164 462029277 257 94
165 594272781 258 94
166 595016782 259 94
167 902995116 260 94
168 1013010113 260 92
169 1013010147 260 91
170 1013010165 260 91
171 1438933572 261 91
172 1586371736 262 91
173 1883391368 263 91
