# comparison reference file	(generated with python figs/parse-yaml-out.py /home/jordan/weniger-cp-data/sad-50-s1 50 sad-50 
#  moves	 gamma	
1	0
2	0
3	0
4	0
6	0
7	0
10	0
13	0
18	0
24	0
32	0
42	0
56	0
75	0
100	0
133	0
178	0
237	0
316	0
422	0
562	0
750	0
1000	0
1334	0
1778	0
2371	0
2649	0
2649	0.41219317742276
3162	0.3300990563246604
4217	0.2175881882435703
5623	0.1359964678240567
6078	0.1189539089830868
6078	0.4385645154621714
6377	0.4151037309644074
6377	0.4679236278822664
7499	0.3888331581021135
10000	0.2638645078589502
13335	0.1682451341767426
17783	0.102618194530705
23493	0.06191718141591665
23493	0.2963629639617048
23714	0.2924796868631888
31623	0.1888311969483488
33794	0.1693854723704293
33794	0.1838776120901055
42170	0.1265856824096238
56234	0.07557116245309223
60443	0.06614162385045223
60443	0.163136756842396
74989	0.1125238372766551
100000	0.06668393744383856
133352	0.03873483677652863
175388	0.02284796412267197
175388	0.1390495716308465
177828	0.1357793519845392
237137	0.08125801043142492
316228	0.04744720762477685
391253	0.03155833846000648
391253	0.07818859731629757
421697	0.0680620395748026
562341	0.03949162694815607
749894	0.02263200968451842
1000000	0.0128803357412607
1333521	0.007304162830907367
1778279	0.00413572532045342
2371374	0.002341312177974856
3162278	0.001326550385082492
4216965	0.0007528563941749545
5096514	0.0005192325888384525
5096514	0.004839657719932613
5623413	0.003980633805029388
7498942	0.002246353764492969
10000000	0.001267449315477676
13335214	0.0007153800471537923
17782794	0.0004040992246203068
23713737	0.0002285465594321231
31622777	0.0001294827087707495
33974283	0.0001124252308765012
33974283	0.0002109136388830104
42169650	0.0001375003477235274
56234133	7.789592302963974e-05
74989421	4.423243629861156e-05
100000000	2.519431759513127e-05
133352143	1.440801873850386e-05
177827941	8.282296023723641e-06
237137371	4.792492129975732e-06
316227766	2.796256865074217e-06
421696503	1.648368407525227e-06
562341325	9.83875197263151e-07
749894209	5.959645906576367e-07
1000000000	3.67149113348822e-07
1333521432	2.30469906539021e-07
1778279410	1.47605296091593e-07
2371373706	9.650455834856105e-08
2541802106	8.737362621186435e-08
2541802106	2.038572571395295e-07
3162277660	1.397113803994051e-07
4216965034	8.62164021896713e-08
5623413252	5.422042476905949e-08
7498942093	3.479281233675496e-08
10000000000	2.279180101359793e-08
13335214322	1.523620383235107e-08
17782794100	1.038226527048218e-08
23713737057	7.19892352858067e-09
31622776602	5.068518300447948e-09
42169650343	3.615328940007144e-09
56234132519	2.606786658907337e-09
74989420933	1.896146511879933e-09
100000000000	1.38891801225311e-09
133352143216	1.022989216157521e-09
177827941004	7.567009315484762e-10
237137370566	5.615788758849969e-10
316227766017	4.178256193964185e-10
421696503429	3.114697766455938e-10
562341325190	2.325261061021473e-10
749894209332	1.737833033960298e-10
1000000000000	1.299891801237764e-10
1333521432163	9.729260986558514e-11
1778279410039	7.285483717029981e-11
