# moves	 wl_factor
5.770635200000000000e+09	5.000000000000000000e-01
6.351681050000000000e+09	2.500000000000000000e-01
6.577902650000000000e+09	1.250000000000000000e-01
6.948872700000000000e+09	6.250000000000000000e-02
9.165718100000000000e+09	3.125000000000000000e-02
1.127454900000000000e+10	1.562500000000000000e-02
1.192162125000000000e+10	7.812500000000000000e-03
1.297777305000000000e+10	3.906250000000000000e-03
1.506732370000000000e+10	1.953120000000000030e-03
1.532527315000000000e+10	9.765620000000000463e-04
1.553165075000000000e+10	4.882810000000000232e-04
1.595840950000000000e+10	2.441410000000000195e-04
1.675925020000000000e+10	1.220700000000000019e-04
1.702387445000000000e+10	6.103520000000000137e-05
1.721577495000000000e+10	3.051760000000000068e-05
1.736149305000000000e+10	1.525880000000000034e-05
1.749963435000000000e+10	7.629390000000000318e-06
1.812239770000000000e+10	3.814700000000000085e-06
1.827402390000000000e+10	1.907350000000000043e-06
1.852171310000000000e+10	9.536739999999999937e-07
1.923562355000000000e+10	4.768369999999999969e-07
2.192495910000000000e+10	2.384190000000000122e-07
2.285778495000000000e+10	1.192090000000000056e-07
3.071194995000000000e+10	5.960460000000000157e-08
3.542550880000000000e+10	2.980230000000000078e-08
3.776552230000000000e+10	1.490119999999999979e-08
5.483679685000000000e+10	7.450580000000000135e-09
5.954681535000000000e+10	3.725290000000000068e-09
6.123944090000000000e+10	1.862649999999999973e-09
6.387526530000000000e+10	9.313229999999999695e-10
6.748621935000000000e+10	4.656609999999999805e-10
6.835482280000000000e+10	2.328310000000000204e-10
2.592852894500000000e+11	1.164150000000000059e-10
2.611161239500000000e+11	5.820770000000000208e-11
2.695098428000000000e+11	2.910380000000000126e-11
2.781030840500000000e+11	1.455190000000000063e-11
2.785729809500000000e+11	7.275960000000000432e-12
2.798643518000000000e+11	3.637980000000000216e-12
2.809566061500000000e+11	1.818990000000000108e-12
2.903822130000000000e+11	9.094950000000000540e-13
