# iterations	 errorinentropy	 maxerror
2.48e+04	61.09	242.6
1.884e+06	18.07	117.2
2.426e+06	17.15	114
2.848e+06	14.87	106
3.358e+06	14.72	105.4
3.97e+06	14.25	103.6
4.698e+06	12.93	98.61
5.534e+06	12.7	97.68
6.464e+06	12.58	97.15
7.494e+06	7.419	74.28
8.6e+06	6.689	69.89
9.813e+06	6.567	69.39
1.111e+07	6.475	68.94
1.248e+07	6.243	67.8
1.393e+07	5.443	61.73
1.55e+07	5.188	59.48
1.712e+07	4.677	52.56
1.881e+07	4.527	51.65
2.063e+07	3.786	42.74
2.249e+07	3.442	35.09
2.345e+07	3.418	33.32
2.438e+07	3.44	33.37
2.538e+07	3.373	29.85
2.67e+07	3.268	28.42
2.908e+07	3.141	27.7
3.15e+07	3.139	27.75
3.396e+07	3.04	27.16
3.615e+07	3.013	27.01
3.736e+07	2.987	26.89
3.866e+07	2.975	26.9
4.074e+07	2.908	21.59
4.379e+07	3.016	23.86
4.689e+07	3.081	26.3
4.967e+07	3.158	26.88
5.116e+07	3.113	26.34
5.303e+07	3.094	26.24
5.651e+07	3.229	28.74
6.002e+07	3.26	28.83
6.3e+07	3.225	28.6
6.468e+07	3.255	28.78
6.753e+07	3.218	28.6
7.144e+07	3.189	28.54
7.539e+07	3.293	28.83
7.757e+07	3.267	28.7
8.015e+07	3.235	28.49
8.441e+07	3.169	27.89
8.869e+07	3.155	27.78
9.096e+07	3.132	27.7
9.424e+07	3.102	27.51
9.895e+07	3.064	27.34
1.034e+08	3.061	27.22
1.058e+08	3.042	27.02
1.107e+08	3.053	27.15
1.156e+08	3.118	29.61
1.183e+08	3.098	29.45
1.233e+08	3.075	29.22
1.284e+08	3.038	28.92
1.313e+08	3.028	28.7
1.366e+08	2.992	28.45
1.418e+08	2.964	28.21
1.448e+08	2.944	28.1
1.504e+08	2.91	27.87
1.548e+08	2.888	27.76
1.582e+08	2.869	27.68
1.639e+08	2.851	27.53
1.682e+08	2.829	27.41
1.722e+08	2.814	27.33
1.783e+08	2.792	27.17
1.818e+08	2.783	27.09
1.88e+08	2.783	27.12
1.93e+08	2.778	26.99
1.971e+08	2.769	27.3
2.031e+08	2.747	27.13
2.07e+08	2.74	27.08
2.138e+08	2.721	27.26
2.193e+08	2.707	27.17
2.239e+08	2.699	27.12
2.31e+08	2.69	27.03
2.352e+08	2.685	26.97
2.425e+08	2.69	26.86
2.47e+08	2.681	26.78
2.545e+08	2.668	26.65
2.591e+08	2.662	26.59
2.668e+08	2.639	26.42
2.715e+08	2.626	26.31
2.793e+08	2.61	26.25
2.843e+08	2.612	26.2
2.916e+08	2.619	26.15
2.968e+08	2.604	26.06
3.037e+08	2.616	26
3.093e+08	2.603	25.93
3.157e+08	2.59	25.84
3.218e+08	2.576	25.81
3.279e+08	2.565	25.88
3.344e+08	2.552	25.82
3.403e+08	2.539	25.75
3.474e+08	2.529	25.68
3.532e+08	2.525	25.62
3.601e+08	2.518	25.71
3.662e+08	2.506	25.65
3.732e+08	2.494	25.58
3.796e+08	2.482	25.57
3.86e+08	2.473	25.51
3.931e+08	2.461	25.43
3.995e+08	2.454	25.39
4.075e+08	2.455	25.44
4.134e+08	2.445	25.35
4.23e+08	2.428	25.27
4.296e+08	2.422	25.36
4.373e+08	2.411	25.3
4.445e+08	2.406	25.26
4.508e+08	2.396	25.21
4.6e+08	2.386	25.12
4.667e+08	2.375	25.07
4.76e+08	2.366	24.96
4.828e+08	2.357	24.88
4.89e+08	2.353	24.88
4.994e+08	2.341	24.79
5.068e+08	2.347	24.94
5.136e+08	2.338	24.89
5.232e+08	2.326	24.8
5.305e+08	2.318	24.76
5.393e+08	2.309	24.7
5.477e+08	2.313	24.69
5.547e+08	2.308	24.75
5.654e+08	2.302	24.67
5.735e+08	2.295	24.71
5.807e+08	2.308	24.69
5.904e+08	2.303	24.67
5.989e+08	2.297	24.62
6.065e+08	2.288	24.57
6.162e+08	2.276	24.5
6.251e+08	2.283	25.11
6.326e+08	2.275	25.06
6.415e+08	2.278	25.06
6.514e+08	2.269	25.04
6.596e+08	2.265	25.01
6.676e+08	2.257	25
6.798e+08	2.252	24.97
6.889e+08	2.247	24.93
6.971e+08	2.244	24.88
7.056e+08	2.235	24.81
7.173e+08	2.228	24.76
7.264e+08	2.22	24.72
7.351e+08	2.212	24.67
7.443e+08	2.203	24.62
7.561e+08	2.195	24.56
7.655e+08	2.187	24.51
7.744e+08	2.18	24.47
7.83e+08	2.173	24.42
7.959e+08	2.163	24.36
8.059e+08	2.159	24.34
8.152e+08	2.152	24.29
8.244e+08	2.147	24.25
8.336e+08	2.145	24.24
8.467e+08	2.137	24.19
8.569e+08	2.132	24.15
8.669e+08	2.132	24.14
8.763e+08	2.13	24.12
8.855e+08	2.127	24.09
8.975e+08	2.125	24.07
9.083e+08	2.129	24.12
9.192e+08	2.125	24.07
9.292e+08	2.117	24.02
9.393e+08	2.12	24.17
9.494e+08	2.113	24.13
9.612e+08	2.107	24.08
9.723e+08	2.107	24.07
9.842e+08	2.102	24.03
9.952e+08	2.096	24
1.006e+09	2.089	23.95
1.016e+09	2.09	23.94
1.027e+09	2.083	23.9
1.038e+09	2.077	23.84
1.05e+09	2.073	23.77
1.061e+09	2.083	23.85
1.073e+09	2.077	23.81
1.085e+09	2.077	23.76
1.097e+09	2.071	23.72
1.108e+09	2.073	23.72
1.119e+09	2.071	23.7
1.131e+09	2.065	23.66
1.142e+09	2.058	23.61
1.154e+09	2.056	23.59
1.165e+09	2.052	23.55
1.178e+09	2.048	23.52
1.19e+09	2.041	23.48
1.203e+09	2.036	23.45
1.215e+09	2.033	23.43
1.227e+09	2.027	23.39
1.24e+09	2.031	23.38
1.253e+09	2.028	23.35
1.265e+09	2.022	23.31
1.278e+09	2.023	23.29
1.29e+09	2.017	23.25
1.303e+09	2.014	23.22
1.316e+09	2.018	23.26
1.329e+09	2.015	23.22
1.342e+09	2.01	23.17
1.354e+09	2.007	23.15
1.368e+09	2.005	23.12
1.38e+09	1.999	23.08
1.393e+09	1.994	23.04
1.406e+09	1.99	23.01
1.42e+09	1.985	22.98
1.432e+09	1.983	22.96
1.446e+09	1.978	22.92
1.459e+09	1.974	22.9
1.473e+09	1.969	22.86
1.487e+09	1.971	22.84
1.501e+09	1.966	22.81
1.515e+09	1.96	22.76
1.529e+09	1.957	22.74
1.543e+09	1.96	22.74
1.557e+09	1.967	22.9
1.571e+09	1.964	22.87
1.584e+09	1.969	22.89
1.598e+09	1.965	22.85
1.611e+09	1.96	22.81
1.626e+09	1.957	22.77
1.64e+09	1.955	22.76
1.655e+09	1.975	22.81
1.67e+09	1.973	22.8
1.685e+09	1.969	22.77
1.699e+09	1.966	22.74
1.713e+09	1.964	22.72
1.727e+09	1.963	22.7
1.742e+09	1.962	22.68
1.757e+09	1.961	22.66
1.773e+09	1.957	22.64
1.788e+09	1.954	22.61
1.802e+09	1.969	22.66
1.817e+09	1.966	22.65
1.832e+09	1.962	22.62
1.848e+09	1.956	22.58
1.864e+09	1.954	22.56
1.878e+09	1.95	22.53
1.893e+09	1.945	22.5
1.909e+09	1.941	22.47
1.926e+09	1.945	22.48
1.941e+09	1.946	22.47
1.956e+09	1.947	22.45
1.972e+09	1.942	22.41
1.988e+09	1.938	22.38
2.005e+09	1.956	22.44
2.019e+09	1.969	22.57
2.036e+09	1.965	22.54
2.053e+09	1.962	22.52
2.069e+09	1.959	22.5
2.084e+09	1.957	22.48
2.101e+09	1.954	22.45
2.119e+09	1.949	22.42
2.133e+09	1.945	22.39
2.15e+09	1.941	22.36
2.168e+09	1.938	22.35
2.184e+09	1.938	22.33
2.2e+09	1.939	22.33
2.217e+09	1.935	22.3
2.235e+09	1.935	22.3
2.25e+09	1.933	22.29
2.268e+09	1.93	22.27
2.286e+09	1.926	22.23
2.301e+09	1.922	22.21
2.32e+09	1.919	22.19
2.337e+09	1.926	22.37
2.353e+09	1.923	22.34
2.371e+09	1.918	22.31
2.388e+09	1.92	22.31
2.405e+09	1.916	22.28
2.424e+09	1.912	22.25
2.44e+09	1.908	22.22
2.459e+09	1.905	22.2
2.477e+09	1.906	22.27
2.494e+09	1.903	22.26
2.513e+09	1.9	22.23
2.529e+09	1.9	22.22
2.548e+09	1.904	22.24
2.567e+09	1.901	22.22
2.584e+09	1.899	22.2
2.604e+09	1.898	22.19
2.621e+09	1.895	22.16
2.641e+09	1.893	22.14
2.658e+09	1.891	22.12
2.677e+09	1.91	22.19
2.694e+09	1.907	22.17
2.714e+09	1.902	22.13
2.732e+09	1.9	22.11
2.751e+09	1.897	22.09
2.77e+09	1.903	22.14
2.789e+09	1.901	22.12
2.808e+09	1.915	22.12
2.826e+09	1.917	22.12
2.846e+09	1.915	22.11
2.865e+09	1.914	22.1
2.884e+09	1.924	22.12
2.903e+09	1.922	22.09
2.923e+09	1.923	22.08
2.941e+09	1.919	22.05
2.961e+09	1.916	22.02
2.98e+09	1.914	22
3e+09	1.911	21.97
3.02e+09	1.908	21.95
3.038e+09	1.905	21.93
3.059e+09	1.902	21.9
3.077e+09	1.9	21.89
3.099e+09	1.897	21.87
3.118e+09	1.902	21.88
3.14e+09	1.901	21.87
3.159e+09	1.899	21.85
3.179e+09	1.897	21.83
3.199e+09	1.894	21.81
