# data from fig 2 from Forte 2011 RG paper
# Not-converged RG
# units in pixels
# (n,T)=(0.0,0.65)-->(x,y)=(94,345)
# (n,T)=(0.8,1.85)-->(x,y)=(504,52)


# x      y
95       337
96       310
99       295
102      278
108      262
114      248
122      238
126      233
130      227
134      224
138      219
140      217
146      212
149      210
154      206
157      203
163      200
166      198
173      194
176      192
182      191
186      189
192      186
197      185
203      183
206      182
212      181
217      180
224      179
228      180
234      178
238      178
246      178
250      180
257      179
260      180
268      181
271      181
278      183
282      184
288      185
292      187
299      189
302      190
309      192
312      193
319      196
323      198
328      201
332      203
338      206
342      208
347      212
356      217
360      219
364      223
369      226
373      229
377      232
382      236
386      238
392      243
398      249
402      252
408      256
415      264
424      271
432      280
439      286
442      292
448      297
453      302
460      308
466      315
471      320
477      326
483      332

