# Data from White 200, figure 5

#(rho,T) = (0.0, 0.8) ==> (x,y) = (73, 400)
#(rho,T) = (0.7, 1.2) ==> (x,y) = (345, 76)

#x     y
78     319
79     299
80     286
82     267
83     254
84     236
87     223
88     210
90     198
93     184
94     171
100    148
104    136
106    128
114    108
116    102
122    92
126    88
133    78
138    74
247    72
252    76
261    86
267    92
274    103
279    108
289    128
292    134
298    146
306    170
310    184
314    197
317    210
320    222
323    235
329    254
334    266
338    285
340    298
343    318
