# data from fig 2 from Forte 2011 RG paper
# Converged RG
# units in pixels
# (n,T)=(0.0,0.65)-->(x,y)=(94,345)
# (n,T)=(0.8,1.85)-->(x,y)=(504,52)

# x      y      T       n* (when known)
94       334
95       318
96       308
98       300
98       296    0.85
99       292
101      286
104      278
105      273
107      268
109      264
111      259
113      256
116      251
118      248    1.05
122      242
124      240
126      237
129      234
132      230
135      228
139      224
142      222
146      220
149      217
155      214
159      212
162      212
165      210
172      208
192      208
195      207            0.2
250      206
281      207
298      207            0.4
311      208
319      210
324      210
332      212
340      216
347      218
352      220
358      224
364      228
370      232
376      235
380      238
384      240
388      244
392      247            1.05
396      250
399      252
401      254    0.6
406      258
410      261
412      263
416      266
420      270
424      274
429      278
432      281
435      284
439      288
444      292
446      294
448      296    0.85
451      300
454      302
456      304
459      308
462      311
466      314
469      317
474      322
478      326
480      329
484      334
488      338
492      342
494      344
495      346    0.65
