#T     nvapor     nliquid       phi(nvap)        phi(nliq)         nparticular
0.1  2.38732414638e-11  0.130129644861  9.89525653067e-11  2.10690831448e-08  0.0252339107259
0.3281573125  2.38732414638e-11  0.116237211732  -5.64781523607e-11  -1.59860126248e-08  0.0462316926878
0.522997  1.74370469739e-05  0.104911472656  -9.0985279456e-06  -9.11510672541e-06  0.0436423272472
0.6879323125  0.000275968036671  0.0958093158534  -0.000185510757715  -0.000185520965541  0.0414305843252
0.826192  0.00115947991816  0.0880239691583  -0.00089178227273  -0.00089178200812  0.0398024777574
0.9408203125  0.00282005339474  0.081143329577  -0.00230678534898  -0.00230678521339  0.0386417994206
1.034677  0.00518779603323  0.0749573295724  -0.00431385826784  -0.00431385869698  0.0378255228562
1.1104373125  0.00809038593524  0.0693491895235  -0.00664839290108  -0.00664837814365  0.0372558380786
1.170592  0.011325508074  0.0642502310788  -0.00903426537857  -0.00903427100588  0.036860045501
1.2174473125  0.0147021974264  0.0596183332046  -0.0112543476169  -0.0112543851076  0.0365858034541
1.253125  0.018062590553  0.055426554756  -0.0131719728366  -0.0131719781599  0.0363967206697
1.2795623125  0.0212886893049  0.0516570327174  -0.0147253196986  -0.0147253302066  0.0362672392102
1.298512  0.0242986134604  0.048296343003  -0.0159100336652  -0.0159100336573  0.0361798597932
1.3115423125  0.0270401959056  0.0453326940686  -0.0167598701279  -0.0167598716479  0.036122347947
1.320037  0.0294848900022  0.0427514950181  -0.0173295064488  -0.0173295058754  0.0360859671354
1.3251953125  0.0427514950181  0.0427514950181  -0.0178039089105  -0.0178039089105  0.0427514950181
1.328032  0.0427514950181  0.0427514950181  -0.0180648094743  -0.0180648094743  0.0427514950181
1.3293773125  0.0427514950181  0.0427514950181  -0.0181885536272  -0.0181885536272  0.0427514950181
1.329877  0.0427514950181  0.0427514950181  -0.0182345090276  -0.0182345090276  0.0427514950181
1.3299923125  0.0427514950181  0.0427514950181  -0.0182451196421  -0.0182451196421  0.0427514950181
1.33  0.0427514950181  0.0427514950181  -0.0182458192502  -0.0182458192502  0.0427514950181
