# iterations	 errorinentropy	 maxerror
4.429e+05	8.457	63.3
1.177e+06	7.867	41.44
2.108e+06	5.472	41.44
3.316e+06	5.307	33.6
4.751e+06	5.021	33.6
6.402e+06	4.473	33.6
8.302e+06	4.413	33.6
1.047e+07	4.6	28.14
1.287e+07	4.264	28.14
1.557e+07	4.605	28.14
1.851e+07	4.428	28.14
2.162e+07	4.297	28.14
2.492e+07	4.234	28.14
2.845e+07	3.097	28.14
3.227e+07	2.804	28.14
3.632e+07	2.974	28.14
4.058e+07	3.049	28.14
4.514e+07	3.156	28.14
4.987e+07	2.8	28.14
5.484e+07	2.889	28.14
6.006e+07	2.843	28.14
6.546e+07	2.843	28.14
7.075e+07	2.781	28.14
7.67e+07	2.817	28.14
8.285e+07	2.843	28.14
8.933e+07	2.255	28.14
9.586e+07	2.263	28.14
1.028e+08	2.243	28.14
1.097e+08	2.287	28.14
1.168e+08	2.282	28.14
1.243e+08	2.333	28.14
1.321e+08	2.366	28.14
1.397e+08	2.425	28.14
1.479e+08	4.667	31.66
1.56e+08	4.53	31.64
1.641e+08	4.388	31.18
1.727e+08	4.35	31.12
1.819e+08	4.397	31.29
1.914e+08	4.449	31.48
2.011e+08	4.523	31.78
2.112e+08	4.561	32
2.212e+08	4.588	32.16
2.308e+08	4.228	30.92
2.404e+08	4.302	31.27
2.512e+08	4.234	31
2.615e+08	4.275	31.17
2.721e+08	4.309	31.37
2.832e+08	4.319	31.43
2.949e+08	4.368	31.66
3.07e+08	4.372	31.72
3.194e+08	4.418	31.93
3.32e+08	4.454	32.11
3.449e+08	4.478	32.27
3.581e+08	4.526	32.36
3.714e+08	3.064	18.66
3.842e+08	3.061	18.55
3.98e+08	3.107	18.76
4.121e+08	3.087	18.71
4.263e+08	3.137	18.96
4.41e+08	3.137	18.97
4.557e+08	3.165	19.06
4.706e+08	3.135	18.96
4.858e+08	3.146	18.99
5.012e+08	3.184	19.17
5.169e+08	3.208	19.26
5.33e+08	3.204	19.29
5.492e+08	3.216	19.36
5.657e+08	3.234	19.45
5.823e+08	3.259	19.57
5.993e+08	3.272	19.65
6.165e+08	3.226	19.44
6.336e+08	3.229	19.49
6.513e+08	3.241	19.55
6.692e+08	3.252	19.61
6.874e+08	3.284	19.76
7.058e+08	3.296	19.82
7.245e+08	3.305	19.83
7.432e+08	3.263	19.26
7.621e+08	3.299	19.44
7.812e+08	3.331	19.58
8.007e+08	3.357	19.72
8.196e+08	3.389	19.87
8.396e+08	3.421	20.02
8.599e+08	3.45	20.15
8.803e+08	3.465	20.22
9.008e+08	3.486	20.3
9.217e+08	3.498	20.35
9.427e+08	3.524	20.49
9.641e+08	3.551	20.6
9.85e+08	3.583	20.75
1.007e+09	3.601	20.82
1.029e+09	3.603	20.85
1.051e+09	3.631	20.97
1.074e+09	3.648	21.06
1.097e+09	3.668	21.16
1.12e+09	3.701	21.31
1.143e+09	3.717	21.39
1.167e+09	3.587	20.92
1.19e+09	3.613	21.04
1.214e+09	3.635	21.14
1.238e+09	3.687	21.77
1.262e+09	3.638	21.53
1.287e+09	3.655	21.6
1.311e+09	3.686	21.82
1.334e+09	3.708	21.92
1.357e+09	3.73	22.03
1.382e+09	3.744	22.1
1.408e+09	3.767	22.2
1.435e+09	3.787	22.43
1.461e+09	3.807	22.52
1.487e+09	3.82	22.58
1.514e+09	3.843	22.69
1.541e+09	3.86	22.77
1.568e+09	3.446	20.94
1.596e+09	3.464	21.03
1.623e+09	3.487	21.13
1.648e+09	3.505	21.22
1.677e+09	3.527	21.33
1.705e+09	3.552	21.44
1.734e+09	3.568	21.51
1.763e+09	3.58	21.57
1.792e+09	3.595	21.64
1.822e+09	3.616	21.74
1.851e+09	3.633	21.81
1.881e+09	3.654	21.9
1.911e+09	3.672	21.99
1.941e+09	3.691	22.09
1.972e+09	3.707	22.16
2.003e+09	3.72	22.21
2.034e+09	3.742	22.31
2.065e+09	3.76	22.4
2.096e+09	3.777	22.47
2.128e+09	3.797	22.56
2.16e+09	3.81	22.61
2.193e+09	3.809	22.62
2.225e+09	3.83	22.97
2.257e+09	3.859	23.23
2.29e+09	3.867	23.25
2.323e+09	3.882	23.31
2.357e+09	3.894	23.38
2.391e+09	3.908	23.44
2.425e+09	3.926	23.52
2.458e+09	3.934	23.56
2.493e+09	3.947	23.62
2.528e+09	3.964	23.69
2.561e+09	3.98	23.76
2.595e+09	3.935	23.63
2.63e+09	3.951	23.72
2.665e+09	3.964	23.77
2.701e+09	3.974	23.83
2.737e+09	3.988	23.89
2.773e+09	4.005	23.96
2.81e+09	4.014	24.01
2.847e+09	4.016	24.03
2.884e+09	4.032	24.1
2.921e+09	4.043	24.15
2.959e+09	4.056	24.2
2.997e+09	4.074	24.28
3.035e+09	4.091	24.44
3.073e+09	4.056	24.27
3.111e+09	4.054	24.26
3.147e+09	2.693	16.03
3.185e+09	2.712	16.11
3.223e+09	2.731	16.19
3.263e+09	2.747	16.26
3.303e+09	2.765	16.33
3.343e+09	2.79	16.43
3.383e+09	2.805	16.5
3.424e+09	2.823	16.58
3.464e+09	2.841	16.65
3.503e+09	2.851	16.7
3.544e+09	2.876	16.89
3.586e+09	2.898	17.09
3.627e+09	2.909	17.16
3.669e+09	2.925	17.23
3.711e+09	2.944	17.31
3.753e+09	2.962	17.38
3.796e+09	2.974	17.42
3.839e+09	2.958	16.98
3.881e+09	2.978	17.06
3.922e+09	2.997	17.13
3.964e+09	3.031	17.37
4.008e+09	3.052	17.47
4.051e+09	3.072	17.54
4.095e+09	3.084	17.6
4.139e+09	3.102	17.63
4.184e+09	3.127	17.73
4.23e+09	3.151	17.81
4.275e+09	3.15	17.53
4.32e+09	3.163	17.55
4.364e+09	3.185	17.63
4.411e+09	3.15	17.13
4.455e+09	3.061	16.38
4.497e+09	2.969	15.8
4.539e+09	2.895	15.26
4.583e+09	2.821	14.71
4.626e+09	2.781	14.42
4.671e+09	2.709	13.89
4.714e+09	2.67	13.61
4.754e+09	2.641	13.41
4.798e+09	2.612	13.21
4.844e+09	2.51	12.64
4.886e+09	2.491	12.51
4.933e+09	2.459	12.31
4.977e+09	2.437	12.15
5.02e+09	2.416	12.02
5.064e+09	2.399	11.91
5.111e+09	2.344	11.53
5.156e+09	2.31	11.32
5.201e+09	2.291	11.19
5.246e+09	2.271	11.08
5.292e+09	2.255	10.97
5.337e+09	2.231	10.84
5.381e+09	2.223	10.8
5.429e+09	2.207	10.69
5.473e+09	2.191	10.6
5.52e+09	2.148	10.46
5.566e+09	2.131	10.36
5.614e+09	2.088	10.12
5.66e+09	2.058	9.92
5.704e+09	2.042	9.828
5.751e+09	2.026	9.742
5.798e+09	2.014	9.664
5.848e+09	1.969	9.489
5.896e+09	1.959	9.419
5.944e+09	1.945	9.342
5.992e+09	1.932	9.263
6.041e+09	1.919	9.19
6.088e+09	1.911	9.141
6.139e+09	1.9	9.078
6.189e+09	1.888	9.013
6.241e+09	1.879	8.957
6.291e+09	1.831	8.804
6.343e+09	1.821	8.749
6.395e+09	1.807	8.675
6.448e+09	1.79	8.595
6.499e+09	1.773	8.521
6.553e+09	1.762	8.456
6.603e+09	1.75	8.371
6.655e+09	1.73	8.233
6.706e+09	1.711	8.119
6.758e+09	1.697	8.043
6.81e+09	1.676	7.961
6.862e+09	1.666	7.913
6.916e+09	1.656	7.855
6.965e+09	1.646	7.803
7.018e+09	1.639	7.761
7.074e+09	1.631	7.714
7.13e+09	1.624	7.677
7.185e+09	1.597	7.579
7.24e+09	1.586	7.522
7.294e+09	1.575	7.478
7.348e+09	1.569	7.441
7.404e+09	1.561	7.398
7.461e+09	1.555	7.361
7.513e+09	1.549	7.326
7.571e+09	1.539	7.283
