# version: 0.0.0-207-gf4e294c-dirty
# well_width: 1.3
# ff: 0.3
# N: 16
# walls: 0
# cell dimensions: (6.06777, 6.06777, 6.06777)
# seed: 10
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 96
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 80

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N16-tmmc-golden-transitions.dat
# iterations: 0
# working moves: 0
# total moves: 0
# acceptance rate: -nan

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0.0041333
40  0.130557
41  0.375085
42  0.733748
43  1.20296
44  1.77896
45  2.45837
46  3.23766
47  4.11389
48  5.08392
49  6.14491
50  7.29413
51  8.52938
52  9.84846
53  11.2497
54  12.7323
55  14.2959
56  15.9412
57  17.6701
58  19.4855
59  21.3918
60  23.3944
61  25.5002
62  27.7178
63  30.0564
64  32.5286
65  35.149
66  37.9324
67  40.9
68  44.0655
69  47.4362
70  50.9889
71  54.6377
72  58.2659
73  61.9757
74  65.9488
75  70.2641
76  75.0973
77  80.0973
78  85.0973
79  90.0973
80  95.0973
81  100.097
82  105.097
83  110.097
84  115.097
85  120.097
86  125.097
87  130.097
88  135.097
89  140.097
90  145.097
91  150.097
92  155.097
93  160.097
94  165.097
95  170.097
