#T     nvapor     nliquid       phi(nvap)        phi(nliq)         nparticular
0.001  0.0199999877181  0.332078320375  -6.3985557094  -20.1764797761  0.14566
0.011  1e-10  0.0449475949084  2.58662417413e-09  -0.177751790621  0.00965903522338
0.021  1e-10  0.0435056118706  1.62496796742e-09  -0.00679443362089  0.0126148853595
0.031  1e-10  0.045985867568  1.14914289359e-09  -0.00034851710291  0.0134723059191
0.041  1e-10  0.0492523006816  8.92679500999e-10  -0.000211852765402  0.0142129399569
0.051  1e-10  0.0532618937944  7.32885631465e-10  -0.000242359688548  0.0150407480492
0.061  1e-10  0.147405416535  5.89273294714e-10  -6.09195596544e-05  0.0146971318221
0.071  1e-10  0.149214821372  5.65935273899e-10  -0.00263923928852  0.101071214164
0.081  1e-10  0.1499463223  5.46297436704e-10  -2.2321126969e-07  0.0899477317506
0.091  1e-10  0.150572676054  5.24614122813e-10  -0.000558849481992  0.0287479414906
0.101  1e-10  0.150986901395  5.03282360923e-10  -0.000668394874134  0.0381631215334
0.111  1e-10  0.151260981806  4.82298753101e-10  -0.000298528570113  0.0582953627949
0.121  1e-10  0.151463916009  4.61283130169e-10  -6.16527037267e-06  0.0603786538017
0.131  1e-10  0.151628256067  4.40091250951e-10  -8.95025618508e-07  0.0609015485184
0.141  1e-10  0.15175318617  4.18905841479e-10  -3.19035812657e-07  0.0611561594427
0.151  1e-10  0.151848182525  3.97727128514e-10  -1.96054395385e-07  0.0613097420649
0.161  1e-10  0.151919908381  3.76553615909e-10  -1.81375389818e-07  0.0614140198822
0.171  1e-10  0.151973219833  3.55384274613e-10  -2.89331025805e-08  0.0614904830212
0.181  1e-10  0.15201171841  3.34218038962e-10  -7.34666794067e-08  0.0615496686189
0.191  1e-10  0.152038027264  3.13054568834e-10  1.01332348734e-07  0.0615974134714
0.201  1e-10  0.152054350375  2.9189307405e-10  -1.40720857189e-08  0.0616371507876
0.211  1e-10  0.15206230811  2.70733439105e-10  -7.35358212101e-08  0.0616710971933
0.221  1e-10  0.152063047847  2.49575474144e-10  3.40556802758e-08  0.0617007351218
0.231  1e-10  0.152057769115  2.28418701629e-10  -1.06881919093e-07  0.0617270307976
0.241  1e-10  0.152047161011  2.07263315903e-10  4.34603459887e-08  0.0617507481284
0.251  1e-10  0.152032113102  1.86108787119e-10  -1.26216085805e-07  0.0617723716179
0.261  1e-10  0.152012956383  1.64955458264e-10  6.17303668182e-08  0.061792352776
0.271  1e-10  0.151990365159  1.43802857155e-10  1.61415507627e-08  0.0618109450595
0.281  1e-10  0.15196466323  1.22651202682e-10  1.73367759482e-07  0.0618284171348
0.291  1e-10  0.151936269237  1.01500053018e-10  -5.25768091286e-08  0.061844913584
0.301  1e-10  0.15190538403  8.03496910269e-11  -1.60851777453e-07  0.0618606227243
0.311  1e-10  0.151872323017  5.92002176188e-11  6.10155688197e-08  0.0618756766693
0.321  1e-10  0.151837277726  3.80512651242e-11  1.04395157408e-07  0.061890144084
