# version: 0.0.0-2155-geb4ec8bc-dirty
# seed: -1335549570621471563
# well_width: 1.3
# ff: 0.3
# N: 500
# walls: 0
# cell dimensions: (19.1123, 19.1123, 19.1123)
# translation_scale: 0.1
# energy_levels: 4501
# min_T: 0.5
# max_entropy_state: 1206
# min_important_energy: 2606
# too_high_energy: 97144
# too_low_energy: 0

# iterations: 280500
# working moves: 69333437
# total moves: 140250000
# acceptance rate: 0.494356

# converged state: 1474
# converged temperature: 1.15699

# energy	lndos	ps
0	-3767.11	0
1	-3767.11	0
2	-3767.11	0
3	-3767.11	0
4	-3767.11	0
5	-3767.11	0
6	-3767.11	0
7	-3767.11	0
8	-3767.11	0
9	-3767.11	0
10	-3767.11	0
11	-3767.11	0
12	-3767.11	0
13	-3767.11	0
14	-3767.11	0
15	-3767.11	0
16	-3767.11	0
17	-3767.11	0
18	-3767.11	0
19	-3767.11	0
20	-3767.11	0
21	-3767.11	0
22	-3767.11	0
23	-3767.11	0
24	-3767.11	0
25	-3767.11	0
26	-3767.11	0
27	-3767.11	0
28	-3751.8	0
29	-3737.46	0
30	-3727.06	0
31	-3716.89	0
32	-3706.47	0
33	-3696.05	0
34	-3685.23	0
35	-3674.81	0
36	-3664.57	0
37	-3654.84	0
38	-3645.25	0
39	-3635.87	0
40	-3626.78	0
41	-3617.91	0
42	-3609.19	0
43	-3600.5	0
44	-3591.82	0
45	-3582.93	0
46	-3574.32	0
47	-3566.06	0
48	-3558.08	0
49	-3550.34	0
50	-3542.77	0
51	-3535.34	0
52	-3528.05	0
53	-3520.9	0
54	-3513.85	0
55	-3506.85	0
56	-3499.92	0
57	-3493.07	0
58	-3486.26	0
59	-3479.17	0
60	-3472.04	0
61	-3464.95	0
62	-3457.82	0
63	-3450.72	0
64	-3443.66	0
65	-3436.66	0
66	-3429.72	0
67	-3422.83	0
68	-3416.01	0
69	-3409.24	0
70	-3402.53	0
71	-3395.87	0
72	-3389.27	0
73	-3382.73	0
74	-3376.21	0
75	-3369.73	0
76	-3363.3	0
77	-3356.91	0
78	-3350.56	0
79	-3344.25	0
80	-3337.97	0
81	-3331.72	0
82	-3325.49	0
83	-3319.29	0
84	-3313.13	0
85	-3307.01	0
86	-3300.93	0
87	-3294.89	0
88	-3288.88	0
89	-3282.91	0
90	-3276.98	0
91	-3271.07	0
92	-3265.2	0
93	-3259.36	0
94	-3253.55	0
95	-3247.77	0
96	-3242.02	0
97	-3236.3	0
98	-3230.6	0
99	-3224.92	0
100	-3219.27	0
101	-3213.64	0
102	-3208.03	0
103	-3202.44	0
104	-3196.88	0
105	-3191.33	0
106	-3185.81	0
107	-3180.29	0
108	-3174.8	0
109	-3169.32	0
110	-3163.85	0
111	-3158.41	0
112	-3152.98	0
113	-3147.56	0
114	-3142.16	0
115	-3136.77	0
116	-3131.39	0
117	-3126.03	0
118	-3120.68	0
119	-3115.34	0
120	-3110.01	0
121	-3104.7	0
122	-3099.41	0
123	-3094.15	0
124	-3088.9	0
125	-3083.62	0
126	-3078.38	0
127	-3073.15	0
128	-3067.92	0
129	-3062.7	0
130	-3057.49	0
131	-3052.27	0
132	-3047.07	0
133	-3041.87	0
134	-3036.68	0
135	-3031.49	0
136	-3026.3	0
137	-3021.13	0
138	-3015.96	0
139	-3010.8	0
140	-3005.7	0
141	-3000.6	0
142	-2995.51	0
143	-2990.43	0
144	-2985.36	0
145	-2980.3	0
146	-2975.25	0
147	-2970.2	0
148	-2965.16	0
149	-2960.13	0
150	-2955.11	0
151	-2950.09	0
152	-2945.09	0
153	-2940.09	0
154	-2935.1	0
155	-2930.12	0
156	-2925.15	0
157	-2920.18	0
158	-2915.23	0
159	-2910.28	0
160	-2905.34	0
161	-2900.41	0
162	-2895.49	0
163	-2890.57	0
164	-2885.66	0
165	-2880.76	0
166	-2875.87	0
167	-2870.98	0
168	-2866.1	0
169	-2861.23	0
170	-2856.37	0
171	-2851.51	0
172	-2846.66	0
173	-2841.82	0
174	-2836.99	0
175	-2832.16	0
176	-2827.33	0
177	-2822.52	0
178	-2817.7	0
179	-2812.89	0
180	-2808.09	0
181	-2803.29	0
182	-2798.5	0
183	-2793.71	0
184	-2788.93	0
185	-2784.15	0
186	-2779.37	0
187	-2774.59	0
188	-2769.82	0
189	-2765.05	0
190	-2760.28	0
191	-2755.51	0
192	-2750.75	0
193	-2745.99	0
194	-2741.23	0
195	-2736.47	0
196	-2731.71	0
197	-2726.96	0
198	-2722.21	0
199	-2717.45	0
200	-2712.7	0
201	-2707.96	0
202	-2703.21	0
203	-2698.47	0
204	-2693.72	0
205	-2688.98	0
206	-2684.24	0
207	-2679.5	0
208	-2674.76	0
209	-2670.02	0
210	-2665.28	0
211	-2660.55	0
212	-2655.81	0
213	-2651.08	0
214	-2646.35	0
215	-2641.62	0
216	-2636.88	0
217	-2632.15	0
218	-2627.42	0
219	-2622.69	0
220	-2617.95	0
221	-2613.22	0
222	-2608.48	0
223	-2603.75	0
224	-2599.01	0
225	-2594.27	0
226	-2589.52	0
227	-2584.78	0
228	-2580.03	0
229	-2575.29	0
230	-2570.53	0
231	-2565.78	0
232	-2561.03	0
233	-2556.27	0
234	-2551.51	0
235	-2546.74	0
236	-2541.97	0
237	-2537.2	0
238	-2532.42	0
239	-2527.64	0
240	-2522.85	0
241	-2518.06	0
242	-2513.26	0
243	-2508.45	0
244	-2503.63	0
245	-2498.8	0
246	-2493.97	0
247	-2489.13	0
248	-2484.27	0
249	-2479.41	0
250	-2474.54	0
251	-2469.66	0
252	-2464.78	0
253	-2459.88	0
254	-2454.98	0
255	-2450.06	0
256	-2445.14	0
257	-2440.21	0
258	-2435.27	0
259	-2430.32	0
260	-2425.37	0
261	-2420.4	0
262	-2415.42	0
263	-2410.44	0
264	-2405.44	0
265	-2400.44	0
266	-2395.43	0
267	-2390.41	0
268	-2385.37	0
269	-2380.33	0
270	-2375.28	0
271	-2370.22	0
272	-2365.15	0
273	-2360.07	0
274	-2354.98	0
275	-2349.88	0
276	-2344.78	0
277	-2339.66	0
278	-2334.53	0
279	-2329.4	0
280	-2324.25	0
281	-2319.09	0
282	-2313.92	0
283	-2308.75	0
284	-2303.56	0
285	-2298.37	0
286	-2293.16	0
287	-2287.94	0
288	-2282.72	0
289	-2277.48	0
290	-2272.23	0
291	-2266.98	0
292	-2261.71	0
293	-2256.44	0
294	-2251.15	0
295	-2245.86	0
296	-2240.55	0
297	-2235.23	0
298	-2229.9	0
299	-2224.57	0
300	-2219.22	0
301	-2213.87	0
302	-2208.5	0
303	-2203.13	0
304	-2197.74	0
305	-2192.35	0
306	-2186.94	0
307	-2181.53	0
308	-2176.11	0
309	-2170.67	0
310	-2165.23	0
311	-2159.77	0
312	-2154.31	0
313	-2148.83	0
314	-2143.35	0
315	-2137.85	0
316	-2132.35	0
317	-2126.84	0
318	-2121.32	0
319	-2115.79	0
320	-2110.25	0
321	-2104.71	0
322	-2099.17	0
323	-2093.61	0
324	-2088.05	0
325	-2082.49	0
326	-2076.92	0
327	-2071.34	0
328	-2065.77	0
329	-2060.19	0
330	-2054.6	0
331	-2049.02	0
332	-2043.43	0
333	-2037.84	0
334	-2032.26	0
335	-2026.67	0
336	-2021.09	0
337	-2015.51	0
338	-2009.93	0
339	-2004.36	0
340	-1998.79	0
341	-1993.23	0
342	-1987.67	0
343	-1982.12	0
344	-1976.59	0
345	-1971.06	0
346	-1965.53	0
347	-1960.02	0
348	-1954.52	0
349	-1949.03	0
350	-1943.54	0
351	-1938.07	0
352	-1932.61	0
353	-1927.16	0
354	-1921.71	0
355	-1916.28	0
356	-1910.87	0
357	-1905.46	0
358	-1900.06	0
359	-1894.67	0
360	-1889.3	0
361	-1883.94	0
362	-1878.59	0
363	-1873.24	0
364	-1867.91	0
365	-1862.59	0
366	-1857.28	0
367	-1851.99	0
368	-1846.7	0
369	-1841.42	0
370	-1836.16	0
371	-1830.91	0
372	-1825.66	0
373	-1820.43	0
374	-1815.21	0
375	-1810	0
376	-1804.8	0
377	-1799.61	0
378	-1794.43	0
379	-1789.26	0
380	-1784.1	0
381	-1778.95	0
382	-1773.81	0
383	-1768.68	0
384	-1763.57	0
385	-1758.46	0
386	-1753.37	0
387	-1748.28	0
388	-1743.21	0
389	-1738.14	0
390	-1733.09	0
391	-1728.05	0
392	-1723.01	0
393	-1717.99	0
394	-1712.98	0
395	-1707.97	0
396	-1702.98	0
397	-1698	0
398	-1693.02	0
399	-1688.06	0
400	-1683.11	0
401	-1678.17	0
402	-1673.24	0
