1.3 0.13 0.399 2   3.48   1.3885 -8.87208   -16.3765
1.3 0.13 0.398 2   3.48   1.3885 -8.87208   -16.3974
1.3 0.13 0.397 2   3.48   1.3885 -8.87208   -16.4181
1.3 0.13 0.396 2   3.48   1.3885 -8.87208   -16.4388
1.3 0.13 0.395 2   3.48   1.3885 -8.87208   -16.4593
1.3 0.13 0.394 2   3.48   1.3885 -8.87208   -16.4798
1.3 0.13 0.393 2   3.48   1.3885 -8.87208   -16.5001
1.3 0.13 0.392 2   3.48   1.3885 -8.87208   -16.5203
1.3 0.13 0.391 2   3.48   1.3885 -8.87208   -16.5403
1.3 0.13 0.39 2   3.48   1.3885 -8.87208   -16.5603
1.3 0.13 0.389 2   3.48   1.3885 -8.87208   -16.5801
1.3 0.13 0.388 2   3.48   1.3885 -8.87208   -16.5997
1.3 0.13 0.387 2   3.48   1.3885 -8.87208   -16.6193
1.3 0.13 0.386 2   3.48   1.3885 -8.87208   -16.6387
1.3 0.13 0.385 2   3.48   1.3885 -8.87208   -16.658
1.3 0.13 0.384 2   3.48   1.3885 -8.87208   -16.6771
1.3 0.13 0.383 2   3.48   1.3885 -8.87208   -16.6961
1.3 0.13 0.382 2   3.48   1.3885 -8.87208   -16.715
1.3 0.13 0.381 2   3.48   1.3885 -8.87208   -16.7337
1.3 0.13 0.38 2   3.48   1.3885 -8.87208   -16.7522
1.3 0.13 0.379 2   3.48   1.3885 -8.87208   -16.7707
1.3 0.13 0.378 2   3.48   1.3885 -8.87208   -16.7889
1.3 0.13 0.377 2   3.48   1.3885 -8.87208   -16.807
1.3 0.13 0.376 2   3.48   1.3885 -8.87208   -16.8249
1.3 0.13 0.375 2   3.48   1.3885 -8.87208   -16.8427
1.3 0.13 0.374 2   3.48   1.3885 -8.87208   -16.8603
1.3 0.13 0.373 2   3.48   1.3885 -8.87208   -16.8778
1.3 0.13 0.372 2   3.48   1.3885 -8.87208   -16.8951
1.3 0.13 0.371 2   3.48   1.3885 -8.87208   -16.9122
1.3 0.13 0.37 2   3.48   1.3885 -8.87208   -16.9292
1.3 0.13 0.369 2   3.48   1.3885 -8.87208   -16.9459
1.3 0.13 0.368 2   3.48   1.3885 -8.87208   -16.9625
1.3 0.13 0.367 2   3.48   1.3885 -8.87208   -16.979
1.3 0.13 0.366 2   3.48   1.3885 -8.87208   -16.9952
1.3 0.13 0.365 2   3.48   1.3885 -8.87208   -17.0113
1.3 0.13 0.364 2   3.48   1.3885 -8.87208   -17.0272
1.3 0.13 0.363 2   3.48   1.3885 -8.87208   -17.0429
1.3 0.13 0.362 2   3.48   1.3885 -8.87208   -17.0584
1.3 0.13 0.361 2   3.48   1.3885 -8.87208   -17.0737
1.3 0.13 0.36 2   3.48   1.3885 -8.87208   -17.0888
1.3 0.13 0.359 2   3.48   1.3885 -8.87208   -17.1038
1.3 0.13 0.358 2   3.48   1.3885 -8.87208   -17.1185
