1.3 0.1081 1.4 2   3.5676   1.40005 -9.09541   -48.3072
1.3 0.1081 1.39 2   3.5676   1.40005 -9.09541   -48.3029
1.3 0.1081 1.38 2   3.5676   1.40005 -9.09541   -48.2984
1.3 0.1081 1.37 2   3.5676   1.40005 -9.09541   -48.2938
1.3 0.1081 1.36 2   3.5676   1.40005 -9.09541   -48.2891
1.3 0.1081 1.35 2   3.5676   1.40005 -9.09541   -48.2843
1.3 0.1081 1.34 2   3.5676   1.40005 -9.09541   -48.2793
1.3 0.1081 1.33 2   3.5676   1.40005 -9.09541   -48.2741
1.3 0.1081 1.32 2   3.5676   1.40005 -9.09541   -48.2688
1.3 0.1081 1.31 2   3.5676   1.40005 -9.09541   -48.2634
1.3 0.1081 1.3 2   3.5676   1.40005 -9.09541   -48.2578
1.3 0.1081 1.29 2   3.5676   1.40005 -9.09541   -48.2521
1.3 0.1081 1.28 2   3.5676   1.40005 -9.09541   -48.2462
1.3 0.1081 1.27 2   3.5676   1.40005 -9.09541   -48.2401
1.3 0.1081 1.26 2   3.5676   1.40005 -9.09541   -48.2338
1.3 0.1081 1.25 2   3.5676   1.40005 -9.09541   -48.2274
1.3 0.1081 1.24 2   3.5676   1.40005 -9.09541   -48.2208
1.3 0.1081 1.23 2   3.5676   1.40005 -9.09541   -48.2139
1.3 0.1081 1.22 2   3.5676   1.40005 -9.09541   -48.2069
1.3 0.1081 1.21 2   3.5676   1.40005 -9.09541   -48.1997
1.3 0.1081 1.2 2   3.5676   1.40005 -9.09541   -48.1923
1.3 0.1081 1.19 2   3.5676   1.40005 -9.09541   -48.1847
1.3 0.1081 1.18 2   3.5676   1.40005 -9.09541   -48.1768
1.3 0.1081 1.17 2   3.5676   1.40005 -9.09541   -48.1688
1.3 0.1081 1.16 2   3.5676   1.40005 -9.09541   -48.1605
1.3 0.1081 1.15 2   3.5676   1.40005 -9.09541   -48.1519
1.3 0.1081 1.14 2   3.5676   1.40005 -9.09541   -48.1432
1.3 0.1081 1.13 2   3.5676   1.40005 -9.09541   -48.1341
1.3 0.1081 1.12 2   3.5676   1.40005 -9.09541   -48.1249
1.3 0.1081 1.11 2   3.5676   1.40005 -9.09541   -48.1153
1.3 0.1081 1.1 2   3.5676   1.40005 -9.09541   -48.1055
1.3 0.1081 1.09 2   3.5676   1.40005 -9.09541   -48.0955
