1.3 0.2 0.399 2   3.2   1.35021 -8.15823   -33.4873
1.3 0.2 0.398 2   3.2   1.35021 -8.15823   -33.4956
1.3 0.2 0.397 2   3.2   1.35021 -8.15823   -33.5038
1.3 0.2 0.396 2   3.2   1.35021 -8.15823   -33.5119
1.3 0.2 0.395 2   3.2   1.35021 -8.15823   -33.5201
1.3 0.2 0.394 2   3.2   1.35021 -8.15823   -33.5282
1.3 0.2 0.393 2   3.2   1.35021 -8.15823   -33.5362
1.3 0.2 0.392 2   3.2   1.35021 -8.15823   -33.5443
1.3 0.2 0.391 2   3.2   1.35021 -8.15823   -33.5523
1.3 0.2 0.39 2   3.2   1.35021 -8.15823   -33.5603
1.3 0.2 0.389 2   3.2   1.35021 -8.15823   -33.5682
1.3 0.2 0.388 2   3.2   1.35021 -8.15823   -33.5761
1.3 0.2 0.387 2   3.2   1.35021 -8.15823   -33.5839
1.3 0.2 0.386 2   3.2   1.35021 -8.15823   -33.5918
1.3 0.2 0.385 2   3.2   1.35021 -8.15823   -33.5995
1.3 0.2 0.384 2   3.2   1.35021 -8.15823   -33.6072
1.3 0.2 0.383 2   3.2   1.35021 -8.15823   -33.6149
1.3 0.2 0.382 2   3.2   1.35021 -8.15823   -33.6226
1.3 0.2 0.381 2   3.2   1.35021 -8.15823   -33.6301
1.3 0.2 0.38 2   3.2   1.35021 -8.15823   -33.6377
1.3 0.2 0.379 2   3.2   1.35021 -8.15823   -33.6452
1.3 0.2 0.378 2   3.2   1.35021 -8.15823   -33.6526
1.3 0.2 0.377 2   3.2   1.35021 -8.15823   -33.66
1.3 0.2 0.376 2   3.2   1.35021 -8.15823   -33.6673
1.3 0.2 0.375 2   3.2   1.35021 -8.15823   -33.6746
1.3 0.2 0.374 2   3.2   1.35021 -8.15823   -33.6818
1.3 0.2 0.373 2   3.2   1.35021 -8.15823   -33.689
1.3 0.2 0.372 2   3.2   1.35021 -8.15823   -33.6961
1.3 0.2 0.371 2   3.2   1.35021 -8.15823   -33.7031
1.3 0.2 0.37 2   3.2   1.35021 -8.15823   -33.7101
1.3 0.2 0.369 2   3.2   1.35021 -8.15823   -33.717
1.3 0.2 0.368 2   3.2   1.35021 -8.15823   -33.7239
