# iterations	 errorinentropy	 maxerror
5.045e+08	2.398	29.52
5.088e+08	2.402	29.52
5.134e+08	2.407	29.52
5.179e+08	2.415	29.52
5.225e+08	2.421	29.52
5.272e+08	2.422	29.52
5.318e+08	2.427	29.51
5.364e+08	2.417	29.5
5.409e+08	2.423	29.48
5.456e+08	2.394	28.97
5.505e+08	2.401	28.95
5.555e+08	2.402	28.95
5.602e+08	2.405	28.94
5.65e+08	2.411	28.94
5.698e+08	2.415	28.94
5.745e+08	2.423	28.94
5.794e+08	2.428	28.92
5.843e+08	2.436	28.92
5.894e+08	2.439	28.91
5.944e+08	2.439	28.81
5.994e+08	2.423	28.81
6.045e+08	2.429	28.81
6.098e+08	2.433	28.81
6.149e+08	2.435	28.81
6.202e+08	2.437	28.81
6.252e+08	2.442	28.8
6.304e+08	2.447	28.8
6.355e+08	2.448	28.79
6.409e+08	2.453	28.79
6.463e+08	2.458	28.79
6.517e+08	2.462	28.78
6.57e+08	2.464	28.78
6.623e+08	2.468	28.77
6.673e+08	2.473	28.77
6.726e+08	2.477	28.77
6.782e+08	2.4	28.15
6.836e+08	2.407	28.15
6.892e+08	2.414	28.15
6.947e+08	2.419	28.15
7e+08	2.427	28.15
7.054e+08	2.43	28.15
7.11e+08	2.422	28.15
7.167e+08	2.426	28.15
7.217e+08	2.429	28.15
7.272e+08	2.434	28.15
7.323e+08	2.435	28.15
7.38e+08	2.44	28.15
7.432e+08	2.445	28.15
7.49e+08	2.452	28.15
7.544e+08	2.452	28.15
7.603e+08	2.454	28.15
7.659e+08	2.459	28.15
7.718e+08	2.461	28.15
7.777e+08	2.466	28.15
7.836e+08	2.469	28.15
7.895e+08	2.472	28.15
7.953e+08	2.482	28.15
8.012e+08	2.485	28.15
8.072e+08	2.482	28.15
8.127e+08	2.486	28.15
8.184e+08	2.487	28.15
8.24e+08	2.491	28.15
8.3e+08	2.491	28.15
8.359e+08	2.494	28.15
8.42e+08	2.5	28.15
8.482e+08	2.497	28.15
8.542e+08	2.5	28.15
8.604e+08	2.504	28.15
8.665e+08	2.509	28.15
8.725e+08	2.516	28.15
8.785e+08	2.517	28.15
8.847e+08	2.52	28.15
8.911e+08	2.525	28.15
8.973e+08	2.533	28.15
9.035e+08	2.538	28.15
9.095e+08	2.542	28.15
9.16e+08	2.548	28.15
9.225e+08	2.553	28.15
9.29e+08	2.557	28.15
9.355e+08	2.56	28.15
9.42e+08	2.566	28.15
9.482e+08	2.568	28.15
9.542e+08	2.57	28.15
9.608e+08	2.575	28.15
9.675e+08	2.579	28.15
9.74e+08	2.582	28.15
9.807e+08	2.587	28.15
9.872e+08	2.59	28.15
9.938e+08	2.594	28.15
1e+09	2.596	28.15
1.007e+09	2.602	28.15
1.014e+09	2.604	28.15
1.021e+09	2.607	28.15
1.027e+09	2.612	28.15
1.034e+09	2.619	28.15
1.04e+09	2.619	28.15
1.047e+09	2.624	28.15
1.054e+09	2.628	28.15
1.061e+09	2.632	28.15
1.068e+09	2.635	28.15
1.074e+09	2.636	28.15
1.081e+09	2.642	28.15
1.088e+09	2.632	28.15
1.095e+09	2.638	28.15
1.102e+09	2.644	28.15
1.109e+09	2.649	28.15
1.116e+09	2.651	28.15
1.123e+09	2.65	28.15
1.13e+09	2.645	28.15
1.137e+09	2.646	28.15
1.144e+09	2.651	28.15
1.151e+09	2.654	28.15
1.159e+09	2.657	28.15
1.166e+09	2.662	28.15
1.173e+09	2.634	28.15
1.18e+09	2.637	28.15
1.188e+09	2.641	28.15
1.195e+09	2.643	28.15
1.202e+09	2.644	28.15
1.209e+09	2.648	28.15
1.217e+09	2.646	28.15
1.224e+09	2.651	28.15
1.231e+09	2.657	28.15
1.239e+09	2.661	28.15
1.246e+09	2.663	28.15
1.253e+09	2.665	28.15
1.261e+09	2.67	28.15
1.268e+09	2.67	28.15
1.275e+09	2.669	28.15
1.283e+09	2.673	28.15
1.29e+09	2.678	28.15
1.298e+09	2.682	28.15
1.306e+09	2.672	28.15
1.314e+09	2.67	28.15
1.321e+09	2.671	28.15
1.329e+09	2.675	28.15
1.337e+09	2.679	28.15
1.345e+09	2.68	28.15
1.353e+09	2.683	28.15
1.361e+09	2.686	28.15
1.369e+09	2.689	28.15
1.377e+09	2.692	28.15
1.384e+09	2.694	28.15
1.392e+09	2.699	28.15
1.4e+09	2.703	28.15
1.408e+09	2.702	28.15
1.416e+09	2.707	28.15
1.425e+09	2.528	28.15
1.433e+09	2.526	28.15
1.441e+09	2.529	28.15
1.449e+09	2.532	28.15
1.457e+09	2.537	28.15
1.465e+09	2.54	28.15
1.473e+09	2.543	28.15
1.481e+09	2.548	28.15
1.49e+09	2.552	28.15
1.498e+09	2.552	28.15
1.506e+09	2.558	28.15
1.515e+09	2.561	28.15
1.523e+09	2.566	28.15
1.531e+09	2.567	28.15
1.54e+09	2.572	28.15
1.548e+09	2.574	28.15
1.556e+09	2.576	28.15
1.565e+09	2.58	28.15
1.573e+09	2.581	28.15
1.582e+09	2.578	28.15
1.59e+09	2.582	28.15
1.599e+09	2.581	28.15
1.607e+09	2.576	28.15
1.616e+09	2.575	28.15
1.625e+09	2.58	28.15
1.633e+09	2.581	28.15
1.642e+09	2.585	28.15
1.65e+09	2.587	28.15
1.659e+09	2.591	28.15
1.668e+09	2.594	28.15
1.677e+09	2.597	28.15
1.686e+09	2.599	28.15
1.694e+09	2.602	28.15
1.703e+09	2.603	28.15
1.712e+09	2.607	28.15
1.721e+09	2.593	28.15
1.73e+09	2.596	28.15
1.739e+09	2.6	28.15
1.747e+09	2.597	28.15
1.756e+09	2.597	28.15
1.765e+09	2.592	28.15
1.774e+09	2.596	28.15
1.783e+09	2.601	28.15
1.791e+09	2.606	28.15
1.801e+09	2.61	28.15
1.81e+09	2.366	28.15
1.819e+09	2.33	28.15
1.828e+09	2.327	28.15
1.837e+09	2.332	28.15
1.846e+09	2.336	28.15
1.855e+09	2.34	28.15
1.864e+09	2.344	28.15
1.872e+09	2.349	28.15
1.881e+09	2.352	28.15
1.889e+09	2.354	28.15
1.898e+09	2.356	28.15
1.907e+09	2.359	28.15
1.917e+09	2.347	28.15
1.926e+09	2.349	28.15
1.936e+09	2.353	28.15
1.945e+09	2.354	28.15
1.954e+09	2.359	28.15
1.964e+09	2.358	28.15
1.973e+09	2.362	28.15
1.983e+09	2.304	28.15
1.992e+09	2.31	28.15
2.001e+09	2.311	28.15
2.011e+09	2.316	28.15
2.02e+09	2.321	28.15
2.03e+09	2.325	28.15
2.04e+09	2.327	28.15
2.049e+09	2.329	28.15
2.059e+09	2.33	28.15
2.069e+09	2.332	28.15
2.078e+09	2.335	28.15
2.088e+09	2.336	28.15
2.098e+09	2.339	28.15
2.108e+09	2.328	28.15
2.117e+09	2.333	28.15
2.127e+09	2.307	28.15
2.137e+09	2.31	28.15
2.147e+09	2.314	28.15
2.157e+09	2.315	28.15
2.167e+09	2.312	28.15
2.177e+09	2.315	28.15
2.187e+09	2.317	28.15
2.197e+09	2.289	28.15
2.207e+09	2.289	28.15
2.217e+09	2.291	28.15
2.227e+09	2.292	28.15
2.237e+09	2.291	28.15
2.247e+09	2.293	28.15
2.258e+09	2.291	28.15
2.268e+09	2.289	28.15
2.278e+09	2.291	28.15
2.288e+09	2.292	28.15
2.298e+09	2.292	28.15
2.309e+09	2.296	28.15
2.319e+09	2.298	28.15
2.329e+09	2.301	28.15
2.339e+09	2.304	28.15
2.35e+09	2.306	28.15
2.36e+09	2.284	28.15
2.37e+09	2.281	28.15
2.381e+09	2.281	28.15
2.391e+09	2.28	28.15
2.401e+09	2.284	28.15
2.411e+09	2.283	28.15
2.422e+09	2.288	28.15
2.432e+09	2.291	28.15
2.442e+09	2.29	28.15
2.453e+09	2.29	28.15
2.463e+09	2.294	28.15
2.474e+09	2.292	28.15
2.484e+09	2.294	28.15
2.495e+09	2.297	28.15
2.506e+09	2.301	28.15
2.516e+09	2.305	28.15
2.527e+09	2.306	28.15
2.538e+09	2.306	28.15
2.548e+09	2.309	28.15
2.559e+09	2.312	28.15
2.57e+09	2.316	28.15
