# comparison reference file	(generated with python figs/parse-yaml-out.py /home/jordan/weniger-cp-data/wl-256-s1 256 wl-50 
#  moves	 gamma	
1	1
1	1
1	1
2	1
3	1
4	1
6	1
7	1
10	1
13	1
18	1
24	1
32	1
42	1
56	1
75	1
100	1
133	1
178	1
237	1
316	1
422	1
562	1
750	1
1000	1
1334	1
1778	1
2371	1
3162	1
4217	1
5623	1
7499	1
10000	1
13335	1
17783	1
23714	1
31623	1
42170	1
56234	1
74989	1
100000	1
133352	1
177828	1
237137	1
316228	1
421697	1
562341	1
749894	1
1000000	1
1333521	1
1778279	1
2371374	1
3162278	1
3875674	1
3875674	0.5
4216965	0.5
4737745	0.5
4737745	0.25
5623413	0.25
7498942	0.25
7706695	0.25
7706695	0.125
10000000	0.125
12111076	0.125
12111076	0.0625
13335214	0.0625
15957803	0.0625
15957803	0.03125
17782794	0.03125
19193041	0.03125
19193041	0.015625
23713737	0.015625
24353970	0.015625
24353970	0.0078125
28313065	0.0078125
28313065	0.00390625
31622777	0.00390625
41903741	0.00390625
41903741	0.001953125
42169650	0.001953125
56234133	0.001953125
59556660	0.001953125
59556660	0.0009765625
74989421	0.0009765625
78742358	0.0009765625
78742358	0.00048828125
98314976	0.00048828125
98314976	0.000244140625
100000000	0.000244140625
133352143	0.000244140625
138902779	0.000244140625
138902779	0.0001220703125
177827941	0.0001220703125
237137371	0.0001220703125
257356167	0.0001220703125
257356167	6.103515625e-05
316227766	6.103515625e-05
317025865	6.103515625e-05
317025865	3.0517578125e-05
421696503	3.0517578125e-05
457411452	3.0517578125e-05
457411452	1.52587890625e-05
562341325	1.52587890625e-05
579291103	1.52587890625e-05
579291103	7.62939453125e-06
749894209	7.62939453125e-06
839859958	7.62939453125e-06
839859958	3.81469726562e-06
1000000000	3.81469726562e-06
1160927479	3.81469726562e-06
1160927479	1.90734863281e-06
1333521432	1.90734863281e-06
1630812506	1.90734863281e-06
1630812506	9.53674316406e-07
1778279410	9.53674316406e-07
1933064048	9.53674316406e-07
1933064048	4.76837158203e-07
2371373706	4.76837158203e-07
2520507183	4.76837158203e-07
2520507183	2.38418579102e-07
2824161757	2.38418579102e-07
2824161757	1.19209289551e-07
3162277660	1.19209289551e-07
3194261257	1.19209289551e-07
3194261257	5.96046447754e-08
4216965034	5.96046447754e-08
4963910580	5.96046447754e-08
4963910580	2.98023223877e-08
5581921595	2.98023223877e-08
5581921595	1.49011611938e-08
5623413252	1.49011611938e-08
7046469349	1.49011611938e-08
7046469349	7.45058059692e-09
7253060972	7.45058059692e-09
7253060972	3.72529029846e-09
7498942093	3.72529029846e-09
7560363331	3.72529029846e-09
7560363331	1.86264514923e-09
7920806192	1.86264514923e-09
7920806192	9.31322574615e-10
8474273606	9.31322574615e-10
8474273606	4.65661287308e-10
8643073740	4.65661287308e-10
8643073740	2.32830643654e-10
9269983046	2.32830643654e-10
9269983046	1.16415321827e-10
9925249221	1.16415321827e-10
9925249221	5.82076609135e-11
10000000000	5.82076609135e-11
10760735253	5.82076609135e-11
10760735253	2.91038304567e-11
11174690137	2.91038304567e-11
11174690137	1.45519152284e-11
11480960896	1.45519152284e-11
