# version: 0.0.0-222-g56de6ba-dirty
# well_width: 1.3
# ff: 0.3
# N: 18
# walls: 0
# cell dimensions: (6.31074, 6.31074, 6.31074)
# seed: 28
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 108
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 90

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N18-tmmc-golden-transitions.dat
# iterations: 0
# working moves: 0
# total moves: 0
# acceptance rate: -nan

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0
36  0
37  0
38  0
39  0
40  0
41  0
42  0
43  0
44  0
45  0.138473
46  0.384344
47  0.734407
48  1.18582
49  1.73541
50  2.38038
51  3.11788
52  3.94492
53  4.85925
54  5.85794
55  6.9386
56  8.09877
57  9.33635
58  10.6491
59  12.0354
60  13.4937
61  15.0232
62  16.6231
63  18.2937
64  20.0359
65  21.8515
66  23.7422
67  25.7114
68  27.7628
69  29.9004
70  32.1295
71  34.454
72  36.88
73  39.4096
74  42.0483
75  44.7964
76  47.6552
77  50.6193
78  53.686
79  56.8528
80  60.1388
81  63.5939
82  67.2586
83  71.1145
84  75.147
85  79.329
86  83.4764
87  86.9568
88  90.4387
89  94.244
90  98.7104
91  103.71
92  108.71
93  113.71
94  118.71
95  123.71
96  128.71
97  133.71
98  138.71
99  143.71
100  148.71
101  153.71
102  158.71
103  163.71
104  168.71
105  173.71
106  178.71
107  183.71
