# well_width: 1.3
# ff: 0.3
# N: 12
# walls: 0
# cell dimensions: (4.44366, 4.44366, 8.48528)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 72
# min_T: 0.2
# fractional_sample_error after initialization: 0.248491
# min_important_energy after initialization: 45

# histogram method: tmmc
# none: 3000000
# iterations: 3000000
# working moves: 19944866
# total moves: 36000000
# acceptance rate: 0.554024

# min_important_energy: 45

# energy   counts
15  34
16  243
17  1363
18  6389
19  24894
20  79120
21  214359
22  472750
23  865785
24  1283724
25  1546353
26  1555605
27  1545888
28  1544386
29  1334019
30  1362031
31  1330193
32  1491590
33  1479507
34  1484560
35  1405379
36  1531733
37  1299972
38  1390570
39  1457028
40  1614499
41  1697150
42  1639339
43  1575754
44  1516244
45  1573975
46  909087
47  766059
48  253
49  165
