# well_width: 1.3
# ff: 0.3
# N: 11
# walls: 0
# cell dimensions: (4.25448, 4.25448, 8.48528)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 60
# min_T: 0.2
# fractional_sample_error after initialization: 0.443505
# min_important_energy after initialization: 42

# histogram method: simple flat
# none: 3000000
# iterations: 3000000
# working moves: 1732832
# total moves: 3270300
# acceptance rate: 0.529869

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0.0693447
24  0.404828
25  1.00611
26  1.88585
27  3.0409
28  4.43414
29  6.04775
30  7.83207
31  9.73284
32  11.7468
33  13.8545
34  16.0799
35  18.4567
36  20.9688
37  23.6659
38  26.5211
39  29.957
40  33.6736
41  37.5279
42  41.4605
43  38.7171
44  43.7171
45  48.7171
46  53.7171
47  58.7171
48  63.7171
49  68.7171
50  73.7171
51  78.7171
52  83.7171
53  88.7171
54  93.7171
55  98.7171
56  103.717
57  108.717
58  113.717
59  118.717
