# well_width: 1.3
# ff: 0.3
# N: 14
# walls: 0
# cell dimensions: (5.80361, 5.80361, 5.80361)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.244898
# min_important_energy after initialization: 65

# histogram method: simple flat
# none: 3000000
# iterations: 3000000
# working moves: 4508205
# total moves: 8298192
# acceptance rate: 0.543276

# energy	ln(weight)
0  0
1  0
2  0
3  0
4  0
5  0
6  0
7  0
8  0
9  0
10  0
11  0
12  0
13  0
14  0
15  0
16  0
17  0
18  0
19  0
20  0
21  0
22  0
23  0
24  0
25  0
26  0
27  0
28  0
29  0
30  0
31  0
32  0
33  0
34  0
35  0.140609
36  0.407189
37  0.806401
38  1.32847
39  1.9768
40  2.73233
41  3.59286
42  4.55545
43  4.55376
44  6.69854
45  8.00675
46  9.33219
47  10.5832
48  12.1127
49  13.8981
50  15.5645
51  17.3322
52  19.1234
53  21.0159
54  22.984
55  25.0779
56  27.1427
57  29.3579
58  31.5878
59  33.9311
60  36.1487
61  38.8096
62  41.5573
63  44.841
64  48.3229
65  52.4076
66  46.9466
67  51.9466
68  56.9466
69  61.9466
70  66.9466
71  71.9466
72  76.9466
73  81.9466
74  86.9466
75  91.9466
76  96.9466
77  101.947
78  106.947
79  111.947
80  116.947
81  121.947
82  126.947
83  131.947
