# version: unknown
# well_width: 1.3
# ff: 0.3
# N: 24
# walls: 0
# cell dimensions: (6.94586, 6.94586, 6.94586)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 144
# min_T: 0.2
# fractional_sample_error after initialization: 0.0926902
# min_important_energy after initialization: 116

# histogram method: Wang-Landau
# wl_factor: 0.125
# wl_fmod: 2
# wl_threshold: 3
# wl_cutoff: 1e-06
# init_iter_limit: 24000000
# iterations: 24000000
# working moves: 282353953
# total moves: 576000000
# acceptance rate: 0.490198

# energy	samples
58  0
59  1415066
60  763757
61  499946
62  353244
63  258966
64  194890
65  149109
66  116448
67  91938
68  73540
69  59692
70  48965
71  40411
72  33666
73  28174
74  23752
75  20155
76  17203
77  14812
78  12753
79  11022
80  9633
81  8383
82  7357
83  6472
84  5726
85  5083
86  4535
87  4059
88  3606
89  3228
90  2903
91  2622
92  2377
93  2173
94  1973
95  1780
96  1623
97  1484
98  1344
99  1232
100  1118
101  1002
102  902
103  809
104  714
105  620
106  543
107  477
108  399
109  341
110  305
111  271
112  237
113  202
114  169
115  141
116  101
117  66
118  27
119  8
120  1
