# version: 0.0.0-109-ge280603-dirty
# well_width: 1.3
# ff: 0.3
# N: 15
# walls: 0
# cell dimensions: (5.93863, 5.93863, 5.93863)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 84
# min_T: 0.2
# fractional_sample_error after initialization: 0.011795
# min_important_energy after initialization: 72

# histogram method: simple flat
# init_iter_limit: 22500000
# iterations: 22500000
# working moves: 157536358
# total moves: 337500000
# acceptance rate: 0.466774

# min_important_energy: 73

# energy   counts
23  1
24  74
25  713
26  4619
27  21239
28  80412
29  249600
30  660831
31  1475049
32  2815940
33  4608361
34  6487347
35  7940207
36  8471913
37  8507970
38  8543778
39  8551421
40  8533061
41  8503959
42  8463682
43  8429699
44  8363690
45  8339517
46  8323125
47  8370328
48  8450119
49  8504815
50  8447492
51  8423814
52  8426151
53  8450039
54  8398969
55  8448331
56  8428114
57  8361043
58  8306731
59  8277718
60  8236884
61  8227284
62  8170448
63  8021487
64  7936088
65  7743407
66  7674196
67  7664387
68  7636775
69  7805828
70  7653460
71  7816056
72  7864837
73  6029091
74  2349900
