# version: 0.0.0-181-gc332745-dirty
# well_width: 1.3
# ff: 0.3
# N: 26
# walls: 0
# cell dimensions: (7.13368, 7.13368, 7.13368)
# seed: 0
# de_g: 0.05
# de_density: 0.1
# translation_scale: 0.1
# neighbor_scale: 2
# energy_levels: 156
# min_T: 0.2
# fractional_sample_error after initialization: 1
# min_important_energy after initialization: 133

# transitions_input_filename: /home/perlinm/deft/papers/histogram/data/periodic-ww1.30-ff0.30-N26-tmmc-golden-transitions.dat
# iterations: 67600000
# working moves: 815405555
# total moves: 1757600000
# acceptance rate: 0.463931

# energy	samples
61  0
62  3644102
63  2044534
64  1364750
65  979750
66  729254
67  555932
68  431832
69  340263
70  272479
71  220848
72  181001
73  149709
74  125273
75  105429
76  89485
77  76607
78  65818
79  56985
80  49521
81  43180
82  37870
83  33342
84  29443
85  26054
86  23105
87  20610
88  18507
89  16597
90  14932
91  13457
92  12132
93  10931
94  9928
95  9008
96  8168
97  7443
98  6771
99  6215
100  5688
101  5219
102  4806
103  4431
104  4096
105  3780
106  3483
107  3220
108  2990
109  2758
110  2527
111  2307
112  2106
113  1903
114  1698
115  1552
116  1405
117  1264
118  1142
119  1027
120  893
121  773
122  679
123  592
124  506
125  439
126  368
127  300
128  218
129  133
130  73
131  46
132  37
