#T    nvapor(g/ml)    nliquid(g/mL)    phi(nvap)(atm)    phi(nliq)(atm)    nparticular
276  5.95177872309e-06  1.02194380489  -0.00754035855213  -0.00808207182343  0.00221686000718
278  6.78723735286e-06  1.02040196982  -0.00866084485731  -0.0106481012875  0.00221419090203
280  7.72382329621e-06  1.01885906134  -0.00992652348828  -0.00870374437784  0.00221152836967
282  8.77173735027e-06  1.0173152676  -0.0113533884428  -0.0108811579394  0.00220887052972
284  9.94196323915e-06  1.01576964957  -0.0129587593643  -0.0137959409197  0.00220621761096
286  1.12462778487e-05  1.01422321843  -0.0147614469788  -0.0149141771179  0.00220357022793
288  1.2697420828e-05  1.0126752777  -0.0167819006025  -0.0167978950526  0.00220092755033
290  1.43089892775e-05  1.01112601597  -0.0190422292535  -0.0192358461726  0.00219828937247
292  1.60955879941e-05  1.00957467954  -0.0215663442403  -0.0233247546861  0.00219565513223
294  1.80727636124e-05  1.00802191454  -0.0243799826085  -0.0264581136835  0.00219302519962
296  2.02571446942e-05  1.00646711851  -0.0275108551222  -0.0264634034545  0.0021904003305
298  2.26666405073e-05  1.00491096355  -0.0309890062227  -0.0329142172696  0.00218777784489
300  2.53199259664e-05  1.00335205351  -0.03484630142  -0.0365510262809  0.0021851591367
302  2.82372123761e-05  1.00179137261  -0.0391171653679  -0.0405504810858  0.00218254413495
304  3.14396651076e-05  1.00022861625  -0.0438383764143  -0.0448590722152  0.00217993233443
306  3.49499805586e-05  0.998663670167  -0.0490492994376  -0.05100500758  0.00217732313471
308  3.87918637075e-05  0.997096588792  -0.05479176147  -0.055181658133  0.00217471764888
310  4.29907123603e-05  0.995526781022  -0.0611106020913  -0.0608386462465  0.00217211427761
312  4.7573205122e-05  0.993954827083  -0.0680535531663  -0.0705059842121  0.00216951254844
314  5.25671930779e-05  0.992379961891  -0.0756709457541  -0.0782320534329  0.00216691423574
316  5.80022016265e-05  0.990802722388  -0.0840164261089  -0.0836393850555  0.00216431818744
318  6.39096414803e-05  0.989222713171  -0.0931474296767  -0.0952612612245  0.00216172313376
320  7.0321644355e-05  0.987639709348  -0.103123546532  -0.101843642772  0.00215913154079
322  7.72730192284e-05  0.986054008241  -0.114009336768  -0.115210115913  0.00215653976679
324  8.47991604981e-05  0.984465766145  -0.125871667586  -0.128343743433  0.00215395036636
326  9.29377086706e-05  0.98287405751  -0.138781551699  -0.141197570182  0.00215136260464
328  0.000101727779024  0.981279153031  -0.152813838948  -0.153982779011  0.0021487761158
330  0.000111210568102  0.979681077562  -0.168047636775  -0.169756438624  0.00214619081542
332  0.000121428706423  0.978079987667  -0.18456566518  -0.187083639908  0.00214360593157
334  0.000132426519486  0.976475273761  -0.202454511257  -0.202803004632  0.00214102310016
336  0.000144250934625  0.97486738145  -0.221806467942  -0.224507292462  0.00213843968727
338  0.000156949600395  0.973256239272  -0.242716327796  -0.245739589221  0.00213585773035
340  0.0001705727424  0.971641101948  -0.265284344661  -0.267554283065  0.00213327666632
342  0.000185172439036  0.970022340433  -0.289615466065  -0.291275198109  0.00213069550274
344  0.000200802565008  0.968399928019  -0.315818961932  -0.316057372399  0.00212811529926
346  0.000217519550032  0.966773873033  -0.344009959592  -0.346053907637  0.00212553428355
348  0.000235380470593  0.965143819401  -0.374306058089  -0.374247514492  0.00212295476406
350  0.000254445993299  0.963509848721  -0.406832675533  -0.406415278159  0.00212037461657
352  0.00027477809557  0.961871899151  -0.441719414493  -0.443589947302  0.00211779358467
354  0.000296439330751  0.960229572604  -0.479098105197  -0.476948930197  0.00211521429827
356  0.000319498002093  0.958583478909  -0.519112152205  -0.519191734343  0.00211263312215
358  0.000344020826707  0.956932757753  -0.561904313755  -0.562874850958  0.00211005186075
360  0.000370077946333  0.9552780676  -0.607624851505  -0.607963961978  0.00210747068541
362  0.000397742557371  0.953618547442  -0.656431006882  -0.658076515692  0.0021048888405
364  0.000427087457625  0.951954937726  -0.708482255062  -0.708472780349  0.00210230696019
366  0.000458191926094  0.950286770867  -0.763949092528  -0.766910515786  0.00209972337185
368  0.000491131271355  0.948613605596  -0.822999183991  -0.8226651828  0.00209714051149
370  0.000525989469499  0.946935888776  -0.885816717943  -0.887258410255  0.00209455572322
372  0.000562847602178  0.945253683861  -0.952582770242  -0.954325389276  0.00209197042767
374  0.0006017905779  0.94356606482  -1.02348637355  -1.02242027441  0.00208938522469
376  0.000642908301637  0.941873971035  -1.09872885356  -1.09991594367  0.00208679772727
378  0.000686287704414  0.94017667526  -1.17850803677  -1.18018621182  0.00208420961957
380  0.000732021033127  0.938474256873  -1.26303229698  -1.26410177024  0.00208162091575
382  0.000780202924197  0.936766432044  -1.35251666889  -1.35316779029  0.00207903087431
384  0.000830929395275  0.935053356421  -1.44718213551  -1.44847090334  0.00207643956558
386  0.000884299083687  0.933335057415  -1.5472555545  -1.55066528854  0.00207384640118
388  0.000940409588776  0.931611380463  -1.65296382524  -1.65427933946  0.00207125339255
390  0.000999366485869  0.929881716405  -1.76455052049  -1.7650218261  0.00206865886609
392  0.00106127463447  0.92814681098  -1.88226034198  -1.88298695324  0.00206606237028
394  0.00112624100713  0.926406254285  -2.00634339645  -2.00767826582  0.00206346467809
396  0.00119437314302  0.924659573878  -2.13705391156  -2.13718816691  0.00206086589615
398  0.00126578459901  0.922907129175  -2.27465819952  -2.27443489976  0.00205826525853
400  0.00134058891244  0.921148831929  -2.41942442201  -2.41880179406  0.00205566359277
402  0.00141890333617  0.919384423325  -2.57163097591  -2.57251386905  0.00205305982448
404  0.00150084271621  0.917613679116  -2.73155326829  -2.73178015524  0.00205045484173
406  0.00158653189793  0.915836815153  -2.899486994  -2.90186931812  0.00204784785756
408  0.00167608730801  0.914053599404  -3.07571416156  -3.07618941831  0.00204524009926
410  0.00176964103391  0.912264085804  -3.26054647683  -3.26178815727  0.00204263024325
412  0.00186731382412  0.910467630884  -3.45427930918  -3.4533900575  0.00204001915279
414  0.00196924511264  0.908664790899  -3.65724200456  -3.65977427661  0.00203740525891
416  0.00207555510026  0.906855197815  -3.86972987375  -3.87046842552  0.00203479099536
418  0.00218638297905  0.905038858694  -4.09208003396  -4.09202956546  0.00203217454107
420  0.00230186675425  0.903215298989  -4.32462185598  -4.32441769111  0.0020295563568
422  0.00242214751326  0.901384731808  -4.56769555547  -4.56949893841  0.00202693545938
424  0.00254736131387  0.899547285004  -4.82163367111  -4.82404118356  0.00202431360631
426  0.00267765014671  0.897702277076  -5.08678225856  -5.088093013  0.00202169029991
428  0.00281316213831  0.895850008448  -5.36349802571  -5.36333746483  0.00201906528292
