#T    nvapor(g/ml)    nliquid(g/mL)    phi(nvap)(atm)    phi(nliq)(atm)    nparticular
276  5.95176835131e-06  1.02194362342  -0.00754035384433  -0.00727372376636  0.00221686021313
278  6.78723925372e-06  1.02040190793  -0.00866084546891  -0.0107400502297  0.00221419106783
280  7.72382986125e-06  1.01885904982  -0.00992654346939  -0.0113394760712  0.00221152785044
282  8.77175251852e-06  1.01731509429  -0.0113534078225  -0.0131287387148  0.00220887009544
284  9.94197251458e-06  1.01576987328  -0.0129587718234  -0.0150688862703  0.00220621748569
286  1.12462927155e-05  1.01422330973  -0.0147614589979  -0.0159980916911  0.00220356992933
288  1.26974161512e-05  1.01267529834  -0.0167819097948  -0.017531022227  0.00220092726089
290  1.43090039276e-05  1.01112580339  -0.0190422613089  -0.0215009958628  0.00219828905948
292  1.60955777853e-05  1.00957465383  -0.0215663462056  -0.0234480226479  0.00219565518205
294  1.80727643226e-05  1.00802178967  -0.0243799861393  -0.0266550427542  0.00219302545122
296  2.02571952261e-05  1.00646711046  -0.0275108887814  -0.0281357470374  0.00219039973326
298  2.2666625e-05  1.00491058751  -0.0309890010324  -0.0326841129853  0.00218777774701
300  2.5319918355e-05  1.00335205498  -0.0348462772723  -0.0355941241978  0.00218515936569
302  2.82371953494e-05  1.00179148345  -0.039117164679  -0.040526038868  0.00218254424955
304  3.14396729412e-05  1.0002287626  -0.0438383924839  -0.0453703114744  0.0021799323785
306  3.49499632766e-05  0.998663804488  -0.0490492631929  -0.0499693481577  0.00217732339479
308  3.87918972422e-05  0.997096542744  -0.0547917958103  -0.0560643341985  0.00217471733725
310  4.29907373806e-05  0.995526900502  -0.0611106609648  -0.0622019677933  0.002172113969
312  4.75731222236e-05  0.993954761279  -0.0680534559956  -0.0684757797659  0.00216951299262
314  5.25670489622e-05  0.992380108716  -0.0756708887683  -0.0771562598072  0.00216691433648
316  5.80023001554e-05  0.990802771428  -0.0840165395902  -0.0855778889555  0.00216431796804
318  6.3909626315e-05  0.989222758643  -0.09314736465  -0.0942547480874  0.00216172339412
320  7.03218096263e-05  0.987639916617  -0.103123712213  -0.104170568923  0.00215913085543
322  7.72729887821e-05  0.986054231666  -0.114009303891  -0.114790582202  0.00215653992295
324  8.47990995354e-05  0.984465587656  -0.125871556125  -0.127049756143  0.00215395063936
326  9.29376471234e-05  0.982873939867  -0.138781471616  -0.140350643316  0.00215136280047
328  0.000101727759589  0.981279133406  -0.152813805244  -0.15365766907  0.00214877612634
330  0.000111210502536  0.979681183182  -0.168047554223  -0.169029218561  0.0021461907535
332  0.000121428717407  0.978079967984  -0.184565516544  -0.185886416231  0.00214360628737
334  0.000132426622661  0.976475435781  -0.202454643421  -0.20377754437  0.00214102276407
336  0.000144250844712  0.974867454153  -0.221806331153  -0.223582855675  0.00213844014119
338  0.000156949468701  0.973256006558  -0.24271603164  -0.243903098789  0.00213585810622
340  0.000170572636398  0.971640996745  -0.265284231813  -0.266911456921  0.00213327664977
342  0.000185172504885  0.970022355104  -0.289615627085  -0.292118699007  0.00213069564987
344  0.000200802674696  0.968399962399  -0.31581909069  -0.316678323592  0.0021281150115
346  0.000217519436047  0.966773797076  -0.344009718314  -0.344981536588  0.00212553460822
348  0.000235380675154  0.965143745943  -0.374306300296  -0.375240651538  0.00212295435784
350  0.000254446173778  0.963509752857  -0.40683289255  -0.407237053786  0.00212037415892
352  0.000274777958512  0.961871760883  -0.441719089242  -0.442451393633  0.00211779393976
354  0.000296439922072  0.960229655564  -0.479099048982  -0.480006045904  0.00211521350481
356  0.000319498070491  0.958583398674  -0.519112409347  -0.519963233639  0.00211263292473
358  0.000344020931274  0.956932878879  -0.561904467844  -0.563303467436  0.00211005197155
360  0.000370078253121  0.95527801164  -0.607625256318  -0.60900889978  0.00210747069834
362  0.000397742121044  0.953618721291  -0.656430357956  -0.656520664189  0.00210488897119
364  0.000427087823445  0.95195498959  -0.708482703212  -0.709471681152  0.002102306597
366  0.000458191473108  0.950286689291  -0.76394826038  -0.765184644883  0.00209972374799
368  0.000491131695251  0.948613737519  -0.822999973186  -0.824189500968  0.00209714015631
370  0.000525989287701  0.946936049748  -0.885816431759  -0.88674319515  0.0020945558655
372  0.000562847568374  0.945253575927  -0.952582493588  -0.953860771612  0.00209197072189
374  0.000601791425791  0.943566241595  -1.02348795015  -1.02489228391  0.0020893846918
376  0.000642908293975  0.941873918483  -1.09872900572  -1.10013887142  0.00208679774581
378  0.000686287740976  0.940176583417  -1.17850797985  -1.18010823982  0.00208420983396
380  0.000732020727608  0.938474049906  -1.26303156994  -1.26316967731  0.00208162087517
382  0.000780202870219  0.936766367239  -1.35251663004  -1.35312114451  0.00207903076037
384  0.000830929013818  0.935053394027  -1.44718181363  -1.44810869325  0.00207643964548
386  0.000884297665946  0.933335039781  -1.54725309589  -1.54807033979  0.00207384717388
388  0.000940409652712  0.931611242162  -1.65296389758  -1.6543509998  0.00207125350799
390  0.000999366856963  0.929881858361  -1.76455105808  -1.76552203961  0.00206865857939
392  0.00106127507409  0.928146874161  -1.88226043414  -1.88306755086  0.00206606230416
394  0.00112624096555  0.926406181695  -2.00634307433  -2.00741329834  0.00206346472891
396  0.00119437431143  0.924659673582  -2.13705561125  -2.13850403496  0.00206086564182
398  0.00126578602463  0.922907261621  -2.27466007153  -2.27579981741  0.0020582651897
400  0.00134059037165  0.921148878052  -2.41942671558  -2.42037775383  0.00205566325242
402  0.0014189033843  0.919384412243  -2.57163138797  -2.57278086532  0.00205305973817
404  0.00150084397256  0.917613806158  -2.73155653823  -2.73377939542  0.00205045471741
406  0.00158652917639  0.915836861641  -2.8994825895  -2.89932678721  0.00204784815275
408  0.0016760878992  0.914053641519  -3.07571532556  -3.07682420498  0.00204524004349
410  0.00176964131599  0.912263958339  -3.26054733593  -3.26223103072  0.00204263020778
412  0.00186731585427  0.910467697641  -3.45428281814  -3.4551009644  0.00204001875607
414  0.00196924229807  0.908664804604  -3.65723703056  -3.65747913223  0.00203740567862
416  0.00207555420329  0.906855180094  -3.86972913459  -3.87014546818  0.002034790791
418  0.00218638483648  0.905038739285  -4.09208283528  -4.0931891502  0.00203217427976
420  0.00230186802389  0.903215291597  -4.32462361883  -4.32510940781  0.0020295559161
422  0.00242214621082  0.901384840446  -4.56769239105  -4.56832132187  0.00202693589526
424  0.00254735811975  0.899547207003  -4.82162819187  -4.822106303  0.00202431401534
426  0.00267764792265  0.897702345124  -5.0867789058  -5.0869689776  0.00202169042074
428  0.00281316434047  0.895850127566  -5.36350309811  -5.36495276743  0.00201906495549
430  0.00295405043239  0.893990399567  -5.65215038249  -5.6533294244  0.00201643774716
